OrderID,Location,DeliveryType,Channel,OrderDate,OrderTime,OrderUUID,WorkflowUUID,OrderStartTime,OrderAcceptedTime,CourierArrivalTime,CourierStartedTime,CourierArrivalTime,CourierEndedTime,TimeToAccept,TimeToCourierArrivedAtRx,TimeCourierAtRx,TimeToDeliver,TimeCourierAtCx,OrderDuration,Country,CountryCode,City,OrderStatus,DeliveryStatus,IsScheduled,IsCompleted,MenuItemCount,CurrencyCode,GrossAOV,TimeToConfirm,OriginalPrepTime,IsPrepTimeIncreased,IncreasedPrepTime,TotalDeliveryTime,CourierRxWaitTime,TotalRxTime,StackingType,OrderDeviceType,IsSubscription,PrimaryKey
#28E51,Prenzlauer Berg,Delivery,UberEats,2022-11-15,18:07:12,4f46a932-fe68-5d8b-96bd-18990b710e89,25170c7a-8bcb-4a01-9214-cc5d82928e51,18:07:12,18:07:19,18:20:19,18:21:34,18:20:19,18:30:47,00:00:07,00:13:00,00:01:15,00:06:30,00:02:43,00:23:34,Germany,DEU,Berlin,Completed,Completed,False,True,5,EUR,32.4,00:00:07,00:11:22,True,-12.03,9.22,00:01:15,00:14:15,Non Batched,iOS,False,#28E51 - Prenzlauer Berg - 2022-11-15
#F5E39,Prenzlauer Berg,Delivery,UberEats,2022-11-15,18:12:19,9021b9ce-819e-5f6b-a505-af6de4ea856f,291a79e5-b19e-4cb7-998c-2f84b69f5e39,18:12:19,18:12:23,18:29:37,18:30:57,18:29:37,18:41:15,00:00:04,00:17:14,00:01:20,00:08:05,00:02:13,00:28:55,Germany,DEU,Berlin,Completed,Completed,False,True,3,EUR,22.6,00:00:04,00:13:12,True,-11.55,10.3,00:01:19,00:18:34,Non Batched,iOS,False,#F5E39 - Prenzlauer Berg - 2022-11-15
#D4062,Prenzlauer Berg,Delivery,UberEats,2022-11-15,20:10:15,13e63347-ec11-54db-9bb1-33263af9eb66,fad6b3bb-551d-434c-95c0-50e5e7ed4062,20:10:15,20:10:22,20:25:28,20:26:50,20:25:28,20:33:25,00:00:07,00:15:06,00:01:22,00:02:22,00:04:13,00:23:10,Germany,DEU,Berlin,Completed,Completed,False,True,4,EUR,31.1,00:00:07,00:08:24,True,-9.78,6.58,00:01:22,00:16:28,Non Batched,iOS,False,#D4062 - Prenzlauer Berg - 2022-11-15
#5901A,Prenzlauer Berg,Delivery,UberEats,2022-11-15,20:57:25,45fd5ef0-8e19-5fa4-a2ac-bb16253e8a06,f15ef94c-3d73-48fa-9d7a-a7163e45901a,20:57:25,20:57:30,21:07:13,21:11:18,21:07:13,21:20:17,00:00:05,00:09:43,00:04:05,00:05:19,00:03:40,00:22:52,Germany,DEU,Berlin,Completed,Completed,False,True,2,EUR,21.5,00:00:04,00:02:19,True,-7.9,8.98,00:04:04,00:13:48,Non Batched,iOS,False,#5901A - Prenzlauer Berg - 2022-11-15
#441A4,Prenzlauer Berg,Delivery,UberEats,2022-11-16,12:42:29,b236ab29-abad-5ca8-9601-d3361fbc6a66,73d818b8-c30f-4db4-aecd-94992f8441a4,12:42:29,12:42:57,12:57:31,12:59:04,12:57:31,13:02:44,00:00:28,00:14:34,00:01:33,00:01:24,00:02:16,00:20:15,Germany,DEU,Berlin,Completed,Completed,False,True,4,EUR,19.6,00:00:28,00:11:58,False,0.0,3.67,00:01:33,00:16:07,Non Batched,iOS,False,#441A4 - Prenzlauer Berg - 2022-11-16
#5B804,Prenzlauer Berg,Pickup,UberEats,2022-11-16,13:17:51,67d70400-065f-5090-ae49-4b1900096cfe,60eea6ff-be96-46ee-a2fd-e8921535b804,13:17:51,13:17:58,00:00:00,00:00:00,00:00:00,00:00:00,00:00:07,00:00:00,00:00:00,00:00:00,00:00:00,,Germany,DEU,Berlin,Completed,,False,True,3,EUR,16.1,00:00:07,00:09:45,False,0.0,,,,,iOS,False,#5B804 - Prenzlauer Berg - 2022-11-16
#83A0E,Prenzlauer Berg,Delivery,UberEats,2022-11-16,16:57:26,dbbd0e32-b14a-53f1-8139-67a05a1bcab5,7b02376b-7088-458c-9430-62f33b383a0e,16:57:26,16:57:31,17:07:44,17:10:20,17:07:44,17:17:36,00:00:05,00:10:13,00:02:36,00:05:21,00:01:55,00:20:10,Germany,DEU,Berlin,Completed,Completed,False,True,2,EUR,14.4,00:00:04,00:09:12,True,-7.95,7.27,00:02:36,00:12:49,Non Batched,iOS,False,#83A0E - Prenzlauer Berg - 2022-11-16
#990B0,Prenzlauer Berg,Delivery,UberEats,2022-11-16,17:24:45,9d1fe97b-96f3-5adf-9a94-adffd557da4b,36302d90-d807-4c40-ae6f-fb4b403990b0,17:24:45,17:24:52,17:39:41,17:41:07,17:39:41,17:47:38,00:00:07,00:14:49,00:01:26,00:04:27,00:02:04,00:22:52,Germany,DEU,Berlin,Completed,Completed,False,True,2,EUR,15.4,00:00:07,00:09:01,False,0.0,6.52,00:01:25,00:16:15,Non Batched,iOS,False,#990B0 - Prenzlauer Berg - 2022-11-16
#9CE1A,Prenzlauer Berg,Delivery,UberEats,2022-11-16,20:33:44,3af4e86f-72bb-5438-93b3-caf6aa29b903,4edce657-e87d-454d-8ef3-6aeeeeb9ce1a,20:33:44,20:33:54,20:43:33,20:46:26,20:43:33,20:54:37,00:00:10,00:09:39,00:02:53,00:03:52,00:04:19,00:20:52,Germany,DEU,Berlin,Completed,Completed,False,True,3,EUR,23.5,00:00:10,00:10:22,False,0.0,8.18,00:02:52,00:12:31,Non Batched,iOS,False,#9CE1A - Prenzlauer Berg - 2022-11-16
#CBCEE,Prenzlauer Berg,Delivery,UberEats,2022-11-17,13:15:32,18b60c55-1038-531f-8440-435840e313eb,a6002894-be27-4997-8616-f344682cbcee,13:15:32,13:15:39,13:39:11,13:40:03,13:39:11,13:57:14,00:00:07,00:23:32,00:00:52,00:13:17,00:03:54,00:41:42,Germany,DEU,Berlin,Completed,Completed,False,True,6,EUR,40.9,00:00:07,00:22:13,True,-11.93,17.18,00:00:52,00:24:24,Non Batched,iOS,False,#CBCEE - Prenzlauer Berg - 2022-11-17
#BF00B,Prenzlauer Berg,Pickup,UberEats,2022-11-17,13:56:44,0dccf08b-f10d-5acc-82a1-06501ea2542d,c4247054-129d-44de-b5ae-a90d14fbf00b,13:56:44,13:56:49,00:00:00,00:00:00,00:00:00,00:00:00,00:00:05,00:00:00,00:00:00,00:00:00,00:00:00,,Germany,DEU,Berlin,Completed,,False,True,3,EUR,20.7,00:00:04,00:10:37,True,-8.87,,,,,iOS,False,#BF00B - Prenzlauer Berg - 2022-11-17
#1CCE3,Prenzlauer Berg,Delivery,UberEats,2022-11-17,14:02:42,4574f085-d531-5f53-b16d-a52404ae46e6,3ff8d41d-5c0b-479d-a19c-7ba702f1cce3,14:02:42,14:02:48,14:18:17,14:19:43,14:18:17,14:30:51,00:00:06,00:15:29,00:01:26,00:09:19,00:01:49,00:28:09,Germany,DEU,Berlin,Completed,Completed,False,True,2,EUR,14.4,00:00:06,00:13:22,True,-7.47,11.13,00:01:25,00:16:55,Non Batched,iOS,False,#1CCE3 - Prenzlauer Berg - 2022-11-17
#70F56,Prenzlauer Berg,Delivery,UberEats,2022-11-17,18:06:58,c2ce148c-3c94-56b4-b417-3a4c307f9642,13571e24-a0ee-469a-8dab-e17175f70f56,18:06:58,18:07:07,18:18:57,18:23:16,18:18:57,18:38:35,00:00:09,00:11:50,00:04:19,00:13:37,00:01:42,00:31:37,Germany,DEU,Berlin,Completed,Completed,False,True,6,EUR,43.8,00:00:09,00:11:24,True,-10.85,15.32,00:04:19,00:16:08,Non Batched,iOS,False,#70F56 - Prenzlauer Berg - 2022-11-17
#AC199,Prenzlauer Berg,Delivery,UberEats,2022-11-17,19:12:59,18049c94-a126-5ee5-86a0-82113ff080ef,ae88d918-ba8c-4101-9a00-268d04aac199,19:12:59,19:13:06,19:27:06,19:28:22,19:27:06,19:37:04,00:00:07,00:14:00,00:01:16,00:06:41,00:02:01,00:24:04,Germany,DEU,Berlin,Completed,Completed,False,True,3,EUR,23.2,00:00:07,00:09:57,True,-6.98,8.7,00:01:16,00:15:16,Non Batched,iOS,False,#AC199 - Prenzlauer Berg - 2022-11-17
#D9487,Prenzlauer Berg,Delivery,UberEats,2022-11-17,20:08:48,2cc021b4-c8fd-5915-bd95-704e6554d8b0,cec5fa4d-fd1e-4b0d-97d0-a5138f4d9487,20:08:48,20:08:55,00:00:00,20:49:48,00:00:00,20:54:40,00:00:07,00:00:00,00:00:00,00:00:48,00:04:04,00:45:52,Germany,DEU,Berlin,Completed,Completed,False,True,5,EUR,27.7,00:00:07,00:07:34,True,-8.57,4.87,,00:40:52,Single Merchant,iOS,False,#D9487 - Prenzlauer Berg - 2022-11-17
#236D9,Prenzlauer Berg,Delivery,UberEats,2022-11-17,20:08:59,0506efc3-c0d6-5acd-bea2-8cae33d8a1d9,6fcb2f8f-94c0-433a-9378-f1b3567236d9,20:08:59,20:09:12,20:18:35,20:48:02,20:18:35,20:59:36,00:00:13,00:09:23,00:29:27,00:08:57,00:02:37,00:50:37,Germany,DEU,Berlin,Completed,Completed,False,True,5,EUR,35.7,00:00:13,00:01:31,True,-9.05,11.57,00:29:27,00:38:49,Non Batched,iOS,False,#236D9 - Prenzlauer Berg - 2022-11-17
#BC3AC,Prenzlauer Berg,Delivery,UberEats,2022-11-17,20:10:09,ef336ceb-1519-5b45-931d-189d7545d111,1c545f7d-d1f6-42b2-b72c-1b3f11cbc3ac,20:10:09,20:10:18,20:15:40,20:49:47,20:15:40,21:09:00,00:00:09,00:05:22,00:34:07,00:11:30,00:07:43,00:58:51,Germany,DEU,Berlin,Completed,Completed,False,True,3,EUR,20.3,00:00:09,00:08:01,False,0.0,19.22,00:34:07,00:39:28,Single Merchant,Android,False,#BC3AC - Prenzlauer Berg - 2022-11-17
#4A0E8,Prenzlauer Berg,Delivery,UberEats,2022-11-17,20:27:44,df834cbb-8d72-5719-aabd-de43249fea14,c166bae6-0078-44d3-bd9c-4f6851d4a0e8,20:27:44,20:28:02,20:53:41,20:54:52,20:53:41,21:06:15,00:00:18,00:25:39,00:01:11,00:08:49,00:02:34,00:38:31,Germany,DEU,Berlin,Completed,Completed,False,True,6,EUR,37.8,00:00:18,00:24:34,True,-4.57,11.38,00:01:10,00:26:49,Non Batched,iOS,False,#4A0E8 - Prenzlauer Berg - 2022-11-17
#6DAED,Prenzlauer Berg,Delivery,UberEats,2022-11-18,12:24:24,5815115b-e2c0-5d17-a245-722e80c8b508,21d13982-38ad-43c1-8bbc-70e745b6daed,12:24:24,12:24:31,12:52:11,12:53:28,12:52:11,12:59:10,00:00:07,00:27:40,00:01:17,00:02:59,00:02:43,00:34:46,Germany,DEU,Berlin,Completed,Completed,False,True,4,EUR,23.1,00:00:07,00:23:46,True,-10.58,5.7,00:01:16,00:28:57,Non Batched,Web,False,#6DAED - Prenzlauer Berg - 2022-11-18
#56C83,Prenzlauer Berg,Delivery,UberEats,2022-11-18,13:36:24,2ecea026-f900-5ddc-af10-f644d14c15cd,2acfcb63-51f0-4b41-b534-078ec0956c83,13:36:24,13:36:39,13:55:36,13:58:29,13:55:36,14:14:17,00:00:15,00:18:57,00:02:53,00:08:47,00:07:01,00:37:52,Germany,DEU,Berlin,Completed,Completed,False,True,10,EUR,74.6,00:00:15,00:15:28,True,-15.65,15.8,00:02:52,00:21:49,Non Batched,iOS,False,#56C83 - Prenzlauer Berg - 2022-11-18
#302E6,Prenzlauer Berg,Delivery,UberEats,2022-11-18,15:29:32,fe20361c-13d6-5676-9f15-b94c167719a4,3e92289f-f92a-4380-9094-566d276302e6,15:29:32,15:29:37,15:43:20,15:45:15,15:43:20,15:52:02,00:00:05,00:13:43,00:01:55,00:05:05,00:01:42,00:22:30,Germany,DEU,Berlin,Completed,Completed,False,True,2,EUR,12.1,00:00:04,00:09:46,True,-7.2,6.78,00:01:55,00:15:37,Non Batched,iOS,True,#302E6 - Prenzlauer Berg - 2022-11-18
#251B8,Prenzlauer Berg,Delivery,UberEats,2022-11-18,16:04:16,61e4864d-bc2f-5854-9d27-c446d804e5e7,141d2a74-acc1-4d04-be8a-92be229251b8,16:04:16,16:04:25,16:17:39,16:18:31,16:17:39,16:29:14,00:00:09,00:13:14,00:00:52,00:08:09,00:02:34,00:24:58,Germany,DEU,Berlin,Completed,Completed,False,True,2,EUR,15.8,00:00:09,00:12:37,True,-7.33,10.72,00:00:52,00:14:06,Non Batched,iOS,False,#251B8 - Prenzlauer Berg - 2022-11-18
#80796,Prenzlauer Berg,Delivery,UberEats,2022-11-18,17:16:09,e8577c75-87ed-5c76-a117-f979e87284bb,a64fcf08-fbae-43b3-9c9c-f5b0f3480796,17:16:09,17:16:14,17:39:18,17:40:22,17:39:18,17:52:05,00:00:05,00:23:04,00:01:04,00:09:04,00:02:39,00:35:55,Germany,DEU,Berlin,Completed,Completed,False,True,3,EUR,20.8,00:00:04,00:08:31,True,-9.7,11.72,00:01:04,00:24:07,Non Batched,iOS,False,#80796 - Prenzlauer Berg - 2022-11-18
#93173,Prenzlauer Berg,Delivery,UberEats,2022-11-18,17:41:45,3d22417e-ca35-5a94-820e-7eeadd6e946f,eb2e12f2-1ead-4f4a-934a-e0572c193173,17:41:45,17:41:52,17:53:08,17:56:38,17:53:08,18:04:34,00:00:07,00:11:16,00:03:30,00:06:43,00:01:13,00:22:49,Germany,DEU,Berlin,Completed,Completed,False,True,5,EUR,32.0,00:00:07,00:10:25,False,0.0,7.93,00:03:30,00:14:46,Non Batched,iOS,False,#93173 - Prenzlauer Berg - 2022-11-18
#66880,Prenzlauer Berg,Delivery,UberEats,2022-11-18,18:32:15,e9f439d1-32b9-5e1a-8d64-4a5c784f8ec3,f163c18e-7a7c-4f07-86e0-b1a4ba366880,18:32:15,18:32:18,18:44:15,18:46:32,18:44:15,19:03:55,00:00:03,00:11:57,00:02:17,00:15:31,00:01:52,00:31:40,Germany,DEU,Berlin,Completed,Completed,False,True,2,EUR,14.9,00:00:03,00:08:45,False,0.0,17.38,00:02:16,00:14:13,Non Batched,iOS,False,#66880 - Prenzlauer Berg - 2022-11-18
#F5AA9,Prenzlauer Berg,Delivery,UberEats,2022-11-18,18:46:58,c6978825-2595-519a-9d95-62f480b66511,74ee08f1-ef3b-451c-a35b-6cea52ff5aa9,18:46:58,18:47:06,18:58:57,19:05:54,18:58:57,19:15:36,00:00:08,00:11:51,00:06:57,00:07:40,00:02:02,00:28:37,Germany,DEU,Berlin,Completed,Completed,False,True,5,EUR,38.4,00:00:07,00:11:49,False,0.0,9.7,00:06:57,00:18:48,Non Batched,Android,False,#F5AA9 - Prenzlauer Berg - 2022-11-18
#02869,Prenzlauer Berg,Delivery,UberEats,2022-11-18,19:30:56,8f04889e-2219-588d-b88f-9b18c0d293cb,f9cb9c3f-cb74-4779-a8e5-f01a5a102869,19:30:56,19:31:02,19:43:14,19:44:42,19:43:14,20:01:00,00:00:06,00:12:12,00:01:28,00:11:53,00:04:25,00:30:04,Germany,DEU,Berlin,Completed,Completed,False,True,6,EUR,41.4,00:00:06,00:12:18,False,0.0,16.3,00:01:28,00:13:40,Non Batched,Android,False,#02869 - Prenzlauer Berg - 2022-11-18
#C9975,Prenzlauer Berg,Delivery,UberEats,2022-11-18,20:55:56,34168d16-23ae-50c1-b832-9090869c5731,a2c5e1d7-042a-4e5d-a93e-3e48fe9c9975,20:55:56,20:56:03,21:04:52,21:08:11,21:04:52,21:16:17,00:00:07,00:08:49,00:03:19,00:04:45,00:03:21,00:20:21,Germany,DEU,Berlin,Completed,Completed,False,True,2,EUR,16.3,00:00:07,00:07:40,False,0.0,8.1,00:03:19,00:12:07,Non Batched,iOS,False,#C9975 - Prenzlauer Berg - 2022-11-18
#88CA0,Prenzlauer Berg,Delivery,UberEats,2022-11-19,12:12:09,9db2e07b-4915-519e-a2b3-1aead98aa379,88e86614-c67b-4bd4-a797-59736dc88ca0,12:12:09,12:12:17,12:20:58,12:22:25,12:20:58,12:33:35,00:00:08,00:08:41,00:01:27,00:07:33,00:03:37,00:21:25,Germany,DEU,Berlin,Completed,Completed,False,True,3,EUR,16.1,00:00:07,00:07:43,True,-10.08,11.17,00:01:27,00:10:07,Non Batched,Android,False,#88CA0 - Prenzlauer Berg - 2022-11-19
#0C408,Prenzlauer Berg,Delivery,UberEats,2022-11-19,12:23:03,eb87d32c-a1cb-57e1-a6c1-aab70ee868f2,71f3f43b-0879-456f-a9af-4b38fab0c408,12:23:03,12:23:07,12:36:56,12:38:09,12:36:56,12:50:36,00:00:04,00:13:49,00:01:13,00:11:47,00:00:40,00:27:33,Germany,DEU,Berlin,Completed,Completed,False,True,3,EUR,21.2,00:00:04,00:08:24,False,0.0,12.45,00:01:13,00:15:01,Non Batched,iOS,False,#0C408 - Prenzlauer Berg - 2022-11-19
#91E54,Prenzlauer Berg,Delivery,UberEats,2022-11-19,12:49:14,5a65fe2c-e0c9-5a4a-978e-8827966880b0,13f77b0d-64c3-4092-a87f-45aa29491e54,12:49:14,12:49:19,12:58:55,12:59:44,12:58:55,13:10:42,00:00:05,00:09:36,00:00:49,00:08:31,00:02:27,00:21:28,Germany,DEU,Berlin,Completed,Completed,False,True,3,EUR,23.1,00:00:04,00:09:34,False,0.0,10.97,00:00:49,00:10:25,Non Batched,iOS,False,#91E54 - Prenzlauer Berg - 2022-11-19
#88524,Prenzlauer Berg,Delivery,UberEats,2022-11-19,14:15:22,97e6e7e0-b4f1-50f2-b263-a3b1915b90d8,e1e47b11-0931-49f6-8391-3a6dfa788524,14:15:22,14:15:26,14:30:23,14:33:23,14:30:23,14:49:05,00:00:04,00:14:57,00:03:00,00:11:44,00:03:58,00:33:43,Germany,DEU,Berlin,Completed,Completed,False,True,2,EUR,16.3,00:00:04,00:10:10,False,0.0,15.7,00:03:00,00:17:57,Non Batched,iOS,False,#88524 - Prenzlauer Berg - 2022-11-19
#74865,Prenzlauer Berg,Delivery,UberEats,2022-11-19,14:42:13,1e9994cb-dfff-5b42-a9f0-dbd9e380720e,6b96db2a-8ed4-45dc-8558-c066fc374865,14:42:13,14:42:17,14:56:34,15:00:39,14:56:34,15:11:04,00:00:04,00:14:17,00:04:05,00:07:51,00:02:34,00:28:51,Germany,DEU,Berlin,Completed,Completed,False,True,4,EUR,30.7,00:00:04,00:06:24,False,0.0,10.42,00:04:04,00:18:22,Non Batched,iOS,False,#74865 - Prenzlauer Berg - 2022-11-19
#EEDD3,Prenzlauer Berg,Delivery,UberEats,2022-11-19,14:54:14,6ded1c9b-8e67-5376-a3e5-d2837afcba02,ef6dbd63-5c63-4e57-b9ad-738ab15eedd3,14:54:14,14:54:19,15:26:51,15:27:25,15:26:51,15:44:14,00:00:05,00:32:32,00:00:34,00:15:27,00:01:22,00:50:00,Germany,DEU,Berlin,Completed,Completed,False,True,6,EUR,47.6,00:00:04,00:10:10,True,-14.13,16.82,00:00:34,00:33:06,Non Batched,iOS,False,#EEDD3 - Prenzlauer Berg - 2022-11-19
#0971B,Prenzlauer Berg,Delivery,UberEats,2022-11-19,14:55:28,df908078-1f7e-5478-825e-3c0cdc094370,671c5f51-210c-4292-84f2-04b30180971b,14:55:28,14:55:36,15:15:40,15:18:14,15:15:40,15:26:58,00:00:08,00:20:04,00:02:34,00:05:22,00:03:22,00:31:30,Germany,DEU,Berlin,Completed,Completed,False,True,3,EUR,27.8,00:00:07,00:20:03,True,-14.22,8.73,00:02:34,00:22:37,Non Batched,iOS,False,#0971B - Prenzlauer Berg - 2022-11-19
#1F1DA,Prenzlauer Berg,Delivery,UberEats,2022-11-19,14:57:02,757b26b0-7ed4-558e-938d-bd026e2694af,a057e60b-da9b-412a-b71e-50caf931f1da,14:57:02,14:57:14,00:00:00,15:26:02,00:00:00,15:48:06,00:00:12,00:00:00,00:00:00,00:10:09,00:11:55,00:51:04,Germany,DEU,Berlin,Failed,Failed,False,False,5,EUR,35.4,00:00:12,00:23:40,True,-12.25,22.07,,00:28:48,Non Batched,iOS,False,#1F1DA - Prenzlauer Berg - 2022-11-19
#0DC22,Prenzlauer Berg,Delivery,UberEats,2022-11-19,15:10:35,847fe6ed-8383-5847-8d2a-80c5a4135409,54406dac-318b-4830-ad9d-55224b30dc22,15:10:35,15:10:44,15:35:41,15:38:28,15:35:41,15:47:41,00:00:09,00:24:57,00:02:47,00:05:57,00:03:16,00:37:06,Germany,DEU,Berlin,Completed,Completed,False,True,2,EUR,15.4,00:00:09,00:19:06,True,-10.38,9.22,00:02:46,00:27:43,Non Batched,iOS,False,#0DC22 - Prenzlauer Berg - 2022-11-19
#14164,Prenzlauer Berg,Delivery,UberEats,2022-11-19,15:49:02,b1c180ec-9662-5127-b580-46af04b9534d,e282e0cc-6dca-4a68-b383-05fbbf214164,15:49:02,15:49:12,16:15:33,16:17:21,16:15:33,16:30:52,00:00:10,00:26:21,00:01:48,00:11:24,00:02:07,00:41:49,Germany,DEU,Berlin,Completed,Completed,False,True,5,EUR,35.4,00:00:10,00:16:28,True,-6.27,13.52,00:01:48,00:28:09,Non Batched,iOS,False,#14164 - Prenzlauer Berg - 2022-11-19
#7CAFB,Prenzlauer Berg,Delivery,UberEats,2022-11-19,16:09:23,d8734c4c-0031-5362-9454-b5d2a5d7e6d6,8a719bc1-564b-426e-8407-47cbcb77cafb,16:09:23,16:09:26,16:31:05,16:34:22,16:31:05,16:53:33,00:00:03,00:21:39,00:03:17,00:16:16,00:02:55,00:44:10,Germany,DEU,Berlin,Completed,Completed,False,True,4,EUR,28.0,00:00:03,00:14:31,True,-15.27,19.18,00:03:16,00:24:55,Non Batched,Android,False,#7CAFB - Prenzlauer Berg - 2022-11-19
