PrimaryKey,Location,OrderID,OrderDate,OrderTime,Channel,City,OrderStatus,DeliveryStatus,DeliveryType,GrossAOV,StackingType,WorkflowUUID,OrderUUID,IsScheduled,IsSubscription,OrderStartTime,TimeToAccept,TimeToCourierArrivedAtRx,TimeCourierAtRx,TimeToDeliver,TimeCourierAtCx,OrderDuration,PromotionsOnItems,PriceAdjustments,DeliveryFee,PromotionsOnDelivery,Tips,MarketplaceFee,TotalPayout,PayoutDate,OrderIssue,TotalRefund,RefundCoveredByMerchant,RefundNotCoveredByMerchant,RatingScore
#28E51 - Prenzlauer Berg - 2022-11-15,Prenzlauer Berg,#28E51,2022-11-15,18:07:12,Uber Eats,Berlin,Completed,Completed,Delivery,32.4,Non Batched,25170c7a-8bcb-4a01-9214-cc5d82928e51,4f46a932-fe68-5d8b-96bd-18990b710e89,False,False,18:07:12,00:00:07,00:13:00,00:01:15,00:06:30,00:02:43,00:23:34,0.0,0.0,0.0,0.0,0.0,-11.57,20.83,21/11/2022,,,,,
#F5E39 - Prenzlauer Berg - 2022-11-15,Prenzlauer Berg,#F5E39,2022-11-15,18:12:19,Uber Eats,Berlin,Completed,Completed,Delivery,22.6,Non Batched,291a79e5-b19e-4cb7-998c-2f84b69f5e39,9021b9ce-819e-5f6b-a505-af6de4ea856f,False,False,18:12:19,00:00:04,00:17:14,00:01:20,00:08:05,00:02:13,00:28:55,0.0,0.0,0.0,0.0,0.0,-8.07,14.53,21/11/2022,,,,,
#D4062 - Prenzlauer Berg - 2022-11-15,Prenzlauer Berg,#D4062,2022-11-15,20:10:15,Uber Eats,Berlin,Completed,Completed,Delivery,31.1,Non Batched,fad6b3bb-551d-434c-95c0-50e5e7ed4062,13e63347-ec11-54db-9bb1-33263af9eb66,False,False,20:10:15,00:00:07,00:15:06,00:01:22,00:02:22,00:04:13,00:23:10,0.0,0.0,0.0,0.0,0.0,-11.1,20.0,21/11/2022,,,,,
#5901A - Prenzlauer Berg - 2022-11-15,Prenzlauer Berg,#5901A,2022-11-15,20:57:25,Uber Eats,Berlin,Completed,Completed,Delivery,21.5,Non Batched,f15ef94c-3d73-48fa-9d7a-a7163e45901a,45fd5ef0-8e19-5fa4-a2ac-bb16253e8a06,False,False,20:57:25,00:00:05,00:09:43,00:04:05,00:05:19,00:03:40,00:22:52,0.0,0.0,0.0,0.0,0.0,-7.68,13.82,21/11/2022,,,,,
#441A4 - Prenzlauer Berg - 2022-11-16,Prenzlauer Berg,#441A4,2022-11-16,12:42:29,Uber Eats,Berlin,Completed,Completed,Delivery,19.6,Non Batched,73d818b8-c30f-4db4-aecd-94992f8441a4,b236ab29-abad-5ca8-9601-d3361fbc6a66,False,False,12:42:29,00:00:28,00:14:34,00:01:33,00:01:24,00:02:16,00:20:15,0.0,0.0,0.0,0.0,0.0,-7.0,12.6,21/11/2022,,,,,
#5B804 - Prenzlauer Berg - 2022-11-16,Prenzlauer Berg,#5B804,2022-11-16,13:17:51,Uber Eats,Berlin,Completed,,Pickup,16.1,,60eea6ff-be96-46ee-a2fd-e8921535b804,67d70400-065f-5090-ae49-4b1900096cfe,False,False,13:17:51,00:00:07,00:00:00,00:00:00,00:00:00,00:00:00,,0.0,0.0,0.0,0.0,0.0,-2.49,13.61,21/11/2022,,,,,
#83A0E - Prenzlauer Berg - 2022-11-16,Prenzlauer Berg,#83A0E,2022-11-16,16:57:26,Uber Eats,Berlin,Completed,Completed,Delivery,14.4,Non Batched,7b02376b-7088-458c-9430-62f33b383a0e,dbbd0e32-b14a-53f1-8139-67a05a1bcab5,False,False,16:57:26,00:00:05,00:10:13,00:02:36,00:05:21,00:01:55,00:20:10,0.0,0.0,0.0,0.0,0.0,-5.14,9.26,21/11/2022,,,,,
#990B0 - Prenzlauer Berg - 2022-11-16,Prenzlauer Berg,#990B0,2022-11-16,17:24:45,Uber Eats,Berlin,Completed,Completed,Delivery,15.4,Non Batched,36302d90-d807-4c40-ae6f-fb4b403990b0,9d1fe97b-96f3-5adf-9a94-adffd557da4b,False,False,17:24:45,00:00:07,00:14:49,00:01:26,00:04:27,00:02:04,00:22:52,0.0,0.0,0.0,0.0,0.0,-5.5,9.9,21/11/2022,,,,,
#9CE1A - Prenzlauer Berg - 2022-11-16,Prenzlauer Berg,#9CE1A,2022-11-16,20:33:44,Uber Eats,Berlin,Completed,Completed,Delivery,23.5,Non Batched,4edce657-e87d-454d-8ef3-6aeeeeb9ce1a,3af4e86f-72bb-5438-93b3-caf6aa29b903,False,False,20:33:44,00:00:10,00:09:39,00:02:53,00:03:52,00:04:19,00:20:52,0.0,0.0,0.0,0.0,0.0,-8.39,15.11,21/11/2022,,,,,
#CBCEE - Prenzlauer Berg - 2022-11-17,Prenzlauer Berg,#CBCEE,2022-11-17,13:15:32,Uber Eats,Berlin,Completed,Completed,Delivery,40.9,Non Batched,a6002894-be27-4997-8616-f344682cbcee,18b60c55-1038-531f-8440-435840e313eb,False,False,13:15:32,00:00:07,00:23:32,00:00:52,00:13:17,00:03:54,00:41:42,0.0,0.0,0.0,0.0,0.0,-14.6,26.3,21/11/2022,,,,,
#BF00B - Prenzlauer Berg - 2022-11-17,Prenzlauer Berg,#BF00B,2022-11-17,13:56:44,Uber Eats,Berlin,Completed,,Pickup,20.7,,c4247054-129d-44de-b5ae-a90d14fbf00b,0dccf08b-f10d-5acc-82a1-06501ea2542d,False,False,13:56:44,00:00:05,00:00:00,00:00:00,00:00:00,00:00:00,,0.0,0.0,0.0,0.0,0.0,-3.2,17.5,21/11/2022,,,,,
#1CCE3 - Prenzlauer Berg - 2022-11-17,Prenzlauer Berg,#1CCE3,2022-11-17,14:02:42,Uber Eats,Berlin,Completed,Completed,Delivery,14.4,Non Batched,3ff8d41d-5c0b-479d-a19c-7ba702f1cce3,4574f085-d531-5f53-b16d-a52404ae46e6,False,False,14:02:42,00:00:06,00:15:29,00:01:26,00:09:19,00:01:49,00:28:09,0.0,0.0,0.0,0.0,0.0,-5.14,9.26,21/11/2022,,,,,
#70F56 - Prenzlauer Berg - 2022-11-17,Prenzlauer Berg,#70F56,2022-11-17,18:06:58,Uber Eats,Berlin,Completed,Completed,Delivery,43.8,Non Batched,13571e24-a0ee-469a-8dab-e17175f70f56,c2ce148c-3c94-56b4-b417-3a4c307f9642,False,False,18:06:58,00:00:09,00:11:50,00:04:19,00:13:37,00:01:42,00:31:37,0.0,0.0,0.0,0.0,0.0,-15.64,28.16,21/11/2022,,,,,
#AC199 - Prenzlauer Berg - 2022-11-17,Prenzlauer Berg,#AC199,2022-11-17,19:12:59,Uber Eats,Berlin,Completed,Completed,Delivery,23.2,Non Batched,ae88d918-ba8c-4101-9a00-268d04aac199,18049c94-a126-5ee5-86a0-82113ff080ef,False,False,19:12:59,00:00:07,00:14:00,00:01:16,00:06:41,00:02:01,00:24:04,0.0,0.0,0.0,0.0,0.0,-8.28,14.92,21/11/2022,,,,,
#D9487 - Prenzlauer Berg - 2022-11-17,Prenzlauer Berg,#D9487,2022-11-17,20:08:48,Uber Eats,Berlin,Completed,Completed,Delivery,27.7,Single Merchant,cec5fa4d-fd1e-4b0d-97d0-a5138f4d9487,2cc021b4-c8fd-5915-bd95-704e6554d8b0,False,False,20:08:48,00:00:07,00:00:00,00:00:00,00:00:48,00:04:04,00:45:52,0.0,0.0,0.0,0.0,0.0,-9.89,17.81,21/11/2022,,,,,
#236D9 - Prenzlauer Berg - 2022-11-17,Prenzlauer Berg,#236D9,2022-11-17,20:08:59,Uber Eats,Berlin,Completed,Completed,Delivery,35.7,Non Batched,6fcb2f8f-94c0-433a-9378-f1b3567236d9,0506efc3-c0d6-5acd-bea2-8cae33d8a1d9,False,False,20:08:59,00:00:13,00:09:23,00:29:27,00:08:57,00:02:37,00:50:37,0.0,0.0,0.0,0.0,0.0,-12.74,22.96,21/11/2022,,,,,
#BC3AC - Prenzlauer Berg - 2022-11-17,Prenzlauer Berg,#BC3AC,2022-11-17,20:10:09,Uber Eats,Berlin,Completed,Completed,Delivery,20.3,Single Merchant,1c545f7d-d1f6-42b2-b72c-1b3f11cbc3ac,ef336ceb-1519-5b45-931d-189d7545d111,False,False,20:10:09,00:00:09,00:05:22,00:34:07,00:11:30,00:07:43,00:58:51,0.0,0.0,0.0,0.0,0.0,-7.25,13.05,21/11/2022,,,,,
#4A0E8 - Prenzlauer Berg - 2022-11-17,Prenzlauer Berg,#4A0E8,2022-11-17,20:27:44,Uber Eats,Berlin,Completed,Completed,Delivery,37.8,Non Batched,c166bae6-0078-44d3-bd9c-4f6851d4a0e8,df834cbb-8d72-5719-aabd-de43249fea14,False,False,20:27:44,00:00:18,00:25:39,00:01:11,00:08:49,00:02:34,00:38:31,0.0,0.0,0.0,0.0,0.0,-13.49,24.31,21/11/2022,,,,,
#6DAED - Prenzlauer Berg - 2022-11-18,Prenzlauer Berg,#6DAED,2022-11-18,12:24:24,Uber Eats,Berlin,Completed,Completed,Delivery,23.1,Non Batched,21d13982-38ad-43c1-8bbc-70e745b6daed,5815115b-e2c0-5d17-a245-722e80c8b508,False,False,12:24:24,00:00:07,00:27:40,00:01:17,00:02:59,00:02:43,00:34:46,0.0,0.0,0.0,0.0,0.0,-8.25,14.85,21/11/2022,,,,,
#56C83 - Prenzlauer Berg - 2022-11-18,Prenzlauer Berg,#56C83,2022-11-18,13:36:24,Uber Eats,Berlin,Completed,Completed,Delivery,74.6,Non Batched,2acfcb63-51f0-4b41-b534-078ec0956c83,2ecea026-f900-5ddc-af10-f644d14c15cd,False,False,13:36:24,00:00:15,00:18:57,00:02:53,00:08:47,00:07:01,00:37:52,0.0,0.0,0.0,0.0,0.0,-26.63,47.97,21/11/2022,,,,,
#302E6 - Prenzlauer Berg - 2022-11-18,Prenzlauer Berg,#302E6,2022-11-18,15:29:32,Uber Eats,Berlin,Completed,Completed,Delivery,12.1,Non Batched,3e92289f-f92a-4380-9094-566d276302e6,fe20361c-13d6-5676-9f15-b94c167719a4,False,True,15:29:32,00:00:05,00:13:43,00:01:55,00:05:05,00:01:42,00:22:30,0.0,0.0,0.0,0.0,0.0,-4.32,7.78,21/11/2022,,,,,
#251B8 - Prenzlauer Berg - 2022-11-18,Prenzlauer Berg,#251B8,2022-11-18,16:04:16,Uber Eats,Berlin,Completed,Completed,Delivery,15.8,Non Batched,141d2a74-acc1-4d04-be8a-92be229251b8,61e4864d-bc2f-5854-9d27-c446d804e5e7,False,False,16:04:16,00:00:09,00:13:14,00:00:52,00:08:09,00:02:34,00:24:58,0.0,0.0,0.0,0.0,0.0,-5.64,10.16,21/11/2022,,,,,
#80796 - Prenzlauer Berg - 2022-11-18,Prenzlauer Berg,#80796,2022-11-18,17:16:09,Uber Eats,Berlin,Completed,Completed,Delivery,20.8,Non Batched,a64fcf08-fbae-43b3-9c9c-f5b0f3480796,e8577c75-87ed-5c76-a117-f979e87284bb,False,False,17:16:09,00:00:05,00:23:04,00:01:04,00:09:04,00:02:39,00:35:55,0.0,0.0,0.0,0.0,0.0,-7.43,13.37,21/11/2022,,,,,
#93173 - Prenzlauer Berg - 2022-11-18,Prenzlauer Berg,#93173,2022-11-18,17:41:45,Uber Eats,Berlin,Completed,Completed,Delivery,32.0,Non Batched,eb2e12f2-1ead-4f4a-934a-e0572c193173,3d22417e-ca35-5a94-820e-7eeadd6e946f,False,False,17:41:45,00:00:07,00:11:16,00:03:30,00:06:43,00:01:13,00:22:49,0.0,0.0,0.0,0.0,0.0,-11.42,20.58,21/11/2022,,,,,
#66880 - Prenzlauer Berg - 2022-11-18,Prenzlauer Berg,#66880,2022-11-18,18:32:15,Uber Eats,Berlin,Completed,Completed,Delivery,14.9,Non Batched,f163c18e-7a7c-4f07-86e0-b1a4ba366880,e9f439d1-32b9-5e1a-8d64-4a5c784f8ec3,False,False,18:32:15,00:00:03,00:11:57,00:02:17,00:15:31,00:01:52,00:31:40,0.0,0.0,0.0,0.0,0.0,-5.32,9.58,21/11/2022,,,,,
#F5AA9 - Prenzlauer Berg - 2022-11-18,Prenzlauer Berg,#F5AA9,2022-11-18,18:46:58,Uber Eats,Berlin,Completed,Completed,Delivery,38.4,Non Batched,74ee08f1-ef3b-451c-a35b-6cea52ff5aa9,c6978825-2595-519a-9d95-62f480b66511,False,False,18:46:58,00:00:08,00:11:51,00:06:57,00:07:40,00:02:02,00:28:37,0.0,0.0,0.0,0.0,0.0,-13.71,24.69,21/11/2022,,,,,
#02869 - Prenzlauer Berg - 2022-11-18,Prenzlauer Berg,#02869,2022-11-18,19:30:56,Uber Eats,Berlin,Completed,Completed,Delivery,41.4,Non Batched,f9cb9c3f-cb74-4779-a8e5-f01a5a102869,8f04889e-2219-588d-b88f-9b18c0d293cb,False,False,19:30:56,00:00:06,00:12:12,00:01:28,00:11:53,00:04:25,00:30:04,0.0,0.0,0.0,0.0,0.0,-14.78,26.62,21/11/2022,,,,,
#C9975 - Prenzlauer Berg - 2022-11-18,Prenzlauer Berg,#C9975,2022-11-18,20:55:56,Uber Eats,Berlin,Completed,Completed,Delivery,16.3,Non Batched,a2c5e1d7-042a-4e5d-a93e-3e48fe9c9975,34168d16-23ae-50c1-b832-9090869c5731,False,False,20:55:56,00:00:07,00:08:49,00:03:19,00:04:45,00:03:21,00:20:21,0.0,0.0,0.0,0.0,0.0,-5.82,10.48,21/11/2022,,,,,
#88CA0 - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#88CA0,2022-11-19,12:12:09,Uber Eats,Berlin,Completed,Completed,Delivery,16.1,Non Batched,88e86614-c67b-4bd4-a797-59736dc88ca0,9db2e07b-4915-519e-a2b3-1aead98aa379,False,False,12:12:09,00:00:08,00:08:41,00:01:27,00:07:33,00:03:37,00:21:25,0.0,0.0,0.0,0.0,0.0,-5.75,10.35,21/11/2022,,,,,
#0C408 - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#0C408,2022-11-19,12:23:03,Uber Eats,Berlin,Completed,Completed,Delivery,21.2,Non Batched,71f3f43b-0879-456f-a9af-4b38fab0c408,eb87d32c-a1cb-57e1-a6c1-aab70ee868f2,False,False,12:23:03,00:00:04,00:13:49,00:01:13,00:11:47,00:00:40,00:27:33,0.0,0.0,0.0,0.0,0.0,-7.57,13.63,21/11/2022,,,,,
#91E54 - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#91E54,2022-11-19,12:49:14,Uber Eats,Berlin,Completed,Completed,Delivery,23.1,Non Batched,13f77b0d-64c3-4092-a87f-45aa29491e54,5a65fe2c-e0c9-5a4a-978e-8827966880b0,False,False,12:49:14,00:00:05,00:09:36,00:00:49,00:08:31,00:02:27,00:21:28,0.0,0.0,0.0,0.0,0.0,-8.25,14.85,21/11/2022,,,,,
#88524 - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#88524,2022-11-19,14:15:22,Uber Eats,Berlin,Completed,Completed,Delivery,16.3,Non Batched,e1e47b11-0931-49f6-8391-3a6dfa788524,97e6e7e0-b4f1-50f2-b263-a3b1915b90d8,False,False,14:15:22,00:00:04,00:14:57,00:03:00,00:11:44,00:03:58,00:33:43,0.0,0.0,0.0,0.0,0.0,-5.82,10.48,21/11/2022,,,,,
#74865 - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#74865,2022-11-19,14:42:13,Uber Eats,Berlin,Completed,Completed,Delivery,30.7,Non Batched,6b96db2a-8ed4-45dc-8558-c066fc374865,1e9994cb-dfff-5b42-a9f0-dbd9e380720e,False,False,14:42:13,00:00:04,00:14:17,00:04:05,00:07:51,00:02:34,00:28:51,0.0,0.0,0.0,0.0,0.0,-10.96,19.74,21/11/2022,,,,,
#EEDD3 - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#EEDD3,2022-11-19,14:54:14,Uber Eats,Berlin,Completed,Completed,Delivery,47.6,Non Batched,ef6dbd63-5c63-4e57-b9ad-738ab15eedd3,6ded1c9b-8e67-5376-a3e5-d2837afcba02,False,False,14:54:14,00:00:05,00:32:32,00:00:34,00:15:27,00:01:22,00:50:00,0.0,0.0,0.0,0.0,0.0,-16.99,30.61,21/11/2022,,,,,
#0971B - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#0971B,2022-11-19,14:55:28,Uber Eats,Berlin,Completed,Completed,Delivery,27.8,Non Batched,671c5f51-210c-4292-84f2-04b30180971b,df908078-1f7e-5478-825e-3c0cdc094370,False,False,14:55:28,00:00:08,00:20:04,00:02:34,00:05:22,00:03:22,00:31:30,0.0,0.0,0.0,0.0,0.0,-9.92,17.88,21/11/2022,,,,,
#1F1DA - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#1F1DA,2022-11-19,14:57:02,Uber Eats,Berlin,Failed,Failed,Delivery,35.4,Non Batched,a057e60b-da9b-412a-b71e-50caf931f1da,757b26b0-7ed4-558e-938d-bd026e2694af,False,False,14:57:02,00:00:12,00:00:00,00:00:00,00:10:09,00:11:55,00:51:04,0.0,0.0,0.0,0.0,0.0,-12.64,22.76,21/11/2022,,,,,
#0DC22 - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#0DC22,2022-11-19,15:10:35,Uber Eats,Berlin,Completed,Completed,Delivery,15.4,Non Batched,54406dac-318b-4830-ad9d-55224b30dc22,847fe6ed-8383-5847-8d2a-80c5a4135409,False,False,15:10:35,00:00:09,00:24:57,00:02:47,00:05:57,00:03:16,00:37:06,0.0,0.0,0.0,0.0,0.0,-5.5,9.9,21/11/2022,,,,,
#14164 - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#14164,2022-11-19,15:49:02,Uber Eats,Berlin,Completed,Completed,Delivery,35.4,Non Batched,e282e0cc-6dca-4a68-b383-05fbbf214164,b1c180ec-9662-5127-b580-46af04b9534d,False,False,15:49:02,00:00:10,00:26:21,00:01:48,00:11:24,00:02:07,00:41:49,0.0,0.0,0.0,0.0,0.0,-12.64,22.76,21/11/2022,,,,,
#7CAFB - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#7CAFB,2022-11-19,16:09:23,Uber Eats,Berlin,Completed,Completed,Delivery,28.0,Non Batched,8a719bc1-564b-426e-8407-47cbcb77cafb,d8734c4c-0031-5362-9454-b5d2a5d7e6d6,False,False,16:09:23,00:00:03,00:21:39,00:03:17,00:16:16,00:02:55,00:44:10,0.0,0.0,0.0,0.0,0.0,-10.0,18.0,21/11/2022,,,,,
#4359B - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#4359B,2022-11-19,16:55:15,Uber Eats,Berlin,Completed,Completed,Delivery,11.6,Non Batched,10c17a89-99cc-4144-8a39-d91a8c14359b,f3533f32-aea0-5197-8a85-c7c3761ddf02,False,False,16:55:15,00:00:06,00:14:23,00:01:38,00:07:30,00:01:49,00:25:25,0.0,0.0,0.0,0.0,0.0,-4.14,7.46,21/11/2022,,,,,
#9A1CA - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#9A1CA,2022-11-19,17:04:19,Uber Eats,Berlin,Completed,Completed,Delivery,43.0,Non Batched,e86e6b23-7fbe-41ae-80f9-964cc579a1ca,f725642d-67f2-5aac-b379-cdb0e441146f,False,False,17:04:19,00:00:06,00:18:29,00:00:37,00:07:28,00:03:46,00:30:25,0.0,0.0,0.0,0.0,0.0,-15.35,27.65,21/11/2022,,,,,
#3FAA2 - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#3FAA2,2022-11-19,17:35:02,Uber Eats,Berlin,Completed,Completed,Delivery,18.9,Single Merchant,8b6a632a-480b-49f4-a435-e63f0703faa2,fea92d09-dafc-5a82-9c97-663642ea191a,False,False,17:35:02,00:00:07,00:20:51,00:01:47,00:08:13,00:02:19,00:33:16,0.0,0.0,0.0,0.0,0.0,-6.75,12.15,21/11/2022,,,,,
#8E921 - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#8E921,2022-11-19,17:40:54,Uber Eats,Berlin,Completed,Completed,Delivery,11.6,Single Merchant,0e34f787-56e9-4dc8-ba07-92a62a88e921,1725eb40-8c95-5a3f-a67e-5e3e49421438,False,False,17:40:54,00:00:10,00:00:00,00:00:00,00:20:38,00:04:07,00:41:37,0.0,0.0,0.0,0.0,0.0,-4.14,7.46,21/11/2022,,,,,
#EB429 - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#EB429,2022-11-19,17:57:53,Uber Eats,Berlin,Completed,Completed,Delivery,28.3,Non Batched,dcea8552-b750-46a7-89d0-a86ace8eb429,860a0c16-253c-509f-84cf-a55c3278a9b1,False,False,17:57:53,00:00:07,00:25:58,00:03:09,00:03:35,00:04:15,00:37:04,0.0,0.0,0.0,0.0,0.0,-10.1,18.2,21/11/2022,,,,,
#BB15B - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#BB15B,2022-11-19,18:29:39,Uber Eats,Berlin,Completed,Completed,Delivery,28.0,Non Batched,a750c841-af21-4346-afde-4e130dabb15b,4c8de2fd-b577-5cac-98b9-94512fcd187d,False,False,18:29:39,00:00:06,00:22:18,00:02:31,00:04:22,00:04:13,00:33:30,0.0,0.0,0.0,0.0,0.0,-10.0,18.0,21/11/2022,,,,,
#DAB72 - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#DAB72,2022-11-19,18:43:04,Uber Eats,Berlin,Completed,Completed,Delivery,21.3,Non Batched,8b640720-00f8-45cc-a5e5-fccc9f8dab72,41b7431d-dfee-5e52-99ad-bdec22fd9b6e,False,False,18:43:04,00:00:08,00:20:31,00:01:46,00:08:10,00:01:45,00:32:19,0.0,0.0,0.0,0.0,0.0,-7.6,13.7,21/11/2022,,,,,
#D2A58 - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#D2A58,2022-11-19,19:09:53,Uber Eats,Berlin,Completed,Completed,Delivery,18.8,Non Batched,2fee3cf4-d685-4b04-b9d7-e2bcb11d2a58,77924e25-e250-5bc1-848c-bb0a67f93345,False,False,19:09:53,00:00:05,00:18:44,00:11:55,00:10:09,00:02:54,00:43:46,0.0,0.0,0.0,0.0,0.0,-6.71,12.09,21/11/2022,,,,,
#89243 - Prenzlauer Berg - 2022-11-19,Prenzlauer Berg,#89243,2022-11-19,19:42:23,Uber Eats,Berlin,Completed,Completed,Delivery,23.1,Non Batched,3cba273d-ab11-46ce-b6f7-7fa862089243,8526ddb3-194a-5390-b2b9-ccec4c01a9a3,False,False,19:42:23,00:00:07,00:28:17,00:02:19,00:06:25,00:05:21,00:42:28,0.0,0.0,0.0,0.0,0.0,-8.25,14.85,21/11/2022,,,,,
