PrimaryKey,Location,OrderID,OrderDate,OrderTime,Channel,OrderStatus,DeliveryType,GrossAOV,OrderDuration,RatingScore
#145 - Friedrichshain - 2023-02-01,Friedrichshain,#145,2023-02-01,17:33:00,Wolt,Delivered,Delivery,18.7,,
#146 - Friedrichshain - 2023-02-01,Friedrichshain,#146,2023-02-01,17:49:00,Wolt,Delivered,Delivery,11.8,,
#147 - Friedrichshain - 2023-02-01,Friedrichshain,#147,2023-02-01,17:51:00,Wolt,Delivered,Delivery,16.7,,
#952 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#952,2023-02-01,18:04:00,Wolt,Delivered,Delivery,28.9,,
#953 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#953,2023-02-01,18:08:00,Wolt,Delivered,Delivery,15.7,,
#148 - Friedrichshain - 2023-02-01,Friedrichshain,#148,2023-02-01,18:14:00,Wolt,Delivered,Delivery,30.6,,5.0
#954 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#954,2023-02-01,18:23:00,Wolt,Delivered,Delivery,27.2,,2.0
#955 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#955,2023-02-01,18:27:00,Wolt,Delivered,Delivery,35.6,,
#149 - Friedrichshain - 2023-02-01,Friedrichshain,#149,2023-02-01,18:33:00,Wolt,Delivered,Delivery,34.3,,
#150 - Friedrichshain - 2023-02-01,Friedrichshain,#150,2023-02-01,18:47:00,Wolt,Delivered,Delivery,18.2,,
#151 - Friedrichshain - 2023-02-01,Friedrichshain,#151,2023-02-01,18:55:00,Wolt,Delivered,Delivery,17.6,,
#956 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#956,2023-02-01,19:13:00,Wolt,Delivered,Delivery,62.0,,
#793 - Mitte - 2023-02-01,Mitte,#793,2023-02-01,19:15:00,Wolt,Delivered,Delivery,10.4,,
#152 - Friedrichshain - 2023-02-01,Friedrichshain,#152,2023-02-01,19:24:00,Wolt,Delivered,Delivery,11.8,,
#957 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#957,2023-02-01,19:36:00,Wolt,Delivered,Delivery,15.8,,
#958 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#958,2023-02-01,19:41:00,Wolt,Delivered,Delivery,23.1,,
#794 - Mitte - 2023-02-01,Mitte,#794,2023-02-01,19:42:00,Wolt,Delivered,Delivery,13.4,,
#959 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#959,2023-02-01,19:42:00,Wolt,Delivered,Delivery,10.9,,
#153 - Friedrichshain - 2023-02-01,Friedrichshain,#153,2023-02-01,19:49:00,Wolt,Delivered,Delivery,17.7,,
#154 - Friedrichshain - 2023-02-01,Friedrichshain,#154,2023-02-01,20:14:00,Wolt,Delivered,Delivery,14.8,,
#962 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#962,2023-02-01,20:17:00,Wolt,Delivered,Delivery,15.8,,
#155 - Friedrichshain - 2023-02-01,Friedrichshain,#155,2023-02-01,20:41:00,Wolt,Delivered,Delivery,14.8,,
#963 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#963,2023-02-01,20:41:00,Wolt,Delivered,Delivery,15.3,,
#156 - Friedrichshain - 2023-02-01,Friedrichshain,#156,2023-02-01,20:46:00,Wolt,Delivered,Delivery,12.8,,2.0
#965 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#965,2023-02-01,20:52:00,Wolt,Delivered,Delivery,14.8,,
#157 - Friedrichshain - 2023-02-01,Friedrichshain,#157,2023-02-01,20:59:00,Wolt,Delivered,Delivery,26.1,,
#966 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#966,2023-02-01,21:03:00,Wolt,Delivered,Delivery,30.3,,
#967 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#967,2023-02-01,21:17:00,Wolt,Delivered,Delivery,10.9,,
#968 - Prenzlauer Berg - 2023-02-01,Prenzlauer Berg,#968,2023-02-01,21:24:00,Wolt,Delivered,Delivery,21.6,,
#158 - Friedrichshain - 2023-02-01,Friedrichshain,#158,2023-02-01,21:49:00,Wolt,Delivered,Delivery,14.4,,
#159 - Friedrichshain - 2023-02-02,Friedrichshain,#159,2023-02-02,11:22:00,Wolt,Delivered,Delivery,20.2,,
#795 - Mitte - 2023-02-02,Mitte,#795,2023-02-02,11:36:00,Wolt,Delivered,Delivery,23.2,,
#160 - Friedrichshain - 2023-02-02,Friedrichshain,#160,2023-02-02,11:52:00,Wolt,Delivered,Delivery,14.8,,
#796 - Mitte - 2023-02-02,Mitte,#796,2023-02-02,12:03:00,Wolt,Delivered,Delivery,23.4,,4.0
#969 - Prenzlauer Berg - 2023-02-02,Prenzlauer Berg,#969,2023-02-02,12:04:00,Wolt,Delivered,Delivery,20.2,,
#161 - Friedrichshain - 2023-02-02,Friedrichshain,#161,2023-02-02,12:24:00,Wolt,Delivered,Delivery,14.7,,
#162 - Friedrichshain - 2023-02-02,Friedrichshain,#162,2023-02-02,13:00:00,Wolt,Delivered,Delivery,14.4,,
#970 - Prenzlauer Berg - 2023-02-02,Prenzlauer Berg,#970,2023-02-02,14:23:00,Wolt,Delivered,Delivery,35.9,,
#797 - Mitte - 2023-02-02,Mitte,#797,2023-02-02,14:24:00,Wolt,Delivered,Delivery,13.3,,5.0
#971 - Prenzlauer Berg - 2023-02-02,Prenzlauer Berg,#971,2023-02-02,14:27:00,Wolt,Delivered,Delivery,15.3,,
#798 - Mitte - 2023-02-02,Mitte,#798,2023-02-02,14:45:00,Wolt,Delivered,Delivery,16.2,,
#799 - Mitte - 2023-02-02,Mitte,#799,2023-02-02,15:41:00,Wolt,Delivered,Delivery,16.3,,
#800 - Mitte - 2023-02-02,Mitte,#800,2023-02-02,15:59:00,Wolt,Delivered,Delivery,14.4,,
#801 - Mitte - 2023-02-02,Mitte,#801,2023-02-02,17:01:00,Wolt,Delivered,Delivery,16.7,,
#163 - Friedrichshain - 2023-02-02,Friedrichshain,#163,2023-02-02,17:25:00,Wolt,Delivered,Delivery,25.2,,
#972 - Prenzlauer Berg - 2023-02-02,Prenzlauer Berg,#972,2023-02-02,17:30:00,Wolt,Delivered,Delivery,17.2,,
#802 - Mitte - 2023-02-02,Mitte,#802,2023-02-02,17:33:00,Wolt,Delivered,Delivery,11.7,,
#164 - Friedrichshain - 2023-02-02,Friedrichshain,#164,2023-02-02,17:48:00,Wolt,Delivered,Delivery,18.3,,
#973 - Prenzlauer Berg - 2023-02-02,Prenzlauer Berg,#973,2023-02-02,17:54:00,Wolt,Delivered,Delivery,31.1,,
#165 - Friedrichshain - 2023-02-02,Friedrichshain,#165,2023-02-02,18:00:00,Wolt,Delivered,Delivery,21.8,,
#166 - Friedrichshain - 2023-02-02,Friedrichshain,#166,2023-02-02,18:16:00,Wolt,Delivered,Delivery,11.4,,
#167 - Friedrichshain - 2023-02-02,Friedrichshain,#167,2023-02-02,18:17:00,Wolt,Delivered,Delivery,14.7,,
#974 - Prenzlauer Berg - 2023-02-02,Prenzlauer Berg,#974,2023-02-02,18:19:00,Wolt,Delivered,Delivery,15.8,,4.0
#803 - Mitte - 2023-02-02,Mitte,#803,2023-02-02,18:24:00,Wolt,Delivered,Delivery,19.3,,
#168 - Friedrichshain - 2023-02-02,Friedrichshain,#168,2023-02-02,18:26:00,Wolt,Delivered,Delivery,16.3,,
#975 - Prenzlauer Berg - 2023-02-02,Prenzlauer Berg,#975,2023-02-02,18:26:00,Wolt,Delivered,Delivery,14.8,,5.0
#804 - Mitte - 2023-02-02,Mitte,#804,2023-02-02,18:44:00,Wolt,Delivered,Delivery,53.7,,
#976 - Prenzlauer Berg - 2023-02-02,Prenzlauer Berg,#976,2023-02-02,18:55:00,Wolt,Delivered,Delivery,47.4,,
#805 - Mitte - 2023-02-02,Mitte,#805,2023-02-02,18:59:00,Wolt,Delivered,Delivery,27.7,,
#169 - Friedrichshain - 2023-02-02,Friedrichshain,#169,2023-02-02,19:01:00,Wolt,Delivered,Delivery,19.3,,3.0
#170 - Friedrichshain - 2023-02-02,Friedrichshain,#170,2023-02-02,19:06:00,Wolt,Delivered,Delivery,21.2,,
#806 - Mitte - 2023-02-02,Mitte,#806,2023-02-02,19:06:00,Wolt,Delivered,Delivery,35.1,,
#171 - Friedrichshain - 2023-02-02,Friedrichshain,#171,2023-02-02,19:25:00,Wolt,Delivered,Delivery,14.9,,
#172 - Friedrichshain - 2023-02-02,Friedrichshain,#172,2023-02-02,19:29:00,Wolt,Delivered,Delivery,30.7,,4.0
#977 - Prenzlauer Berg - 2023-02-02,Prenzlauer Berg,#977,2023-02-02,19:30:00,Wolt,Delivered,Delivery,15.6,,
#173 - Friedrichshain - 2023-02-02,Friedrichshain,#173,2023-02-02,19:42:00,Wolt,Delivered,Delivery,30.0,,
#978 - Prenzlauer Berg - 2023-02-02,Prenzlauer Berg,#978,2023-02-02,19:42:00,Wolt,Delivered,Delivery,27.2,,
#807 - Mitte - 2023-02-02,Mitte,#807,2023-02-02,19:51:00,Wolt,Delivered,Delivery,14.8,,
#174 - Friedrichshain - 2023-02-02,Friedrichshain,#174,2023-02-02,19:53:00,Wolt,Delivered,Delivery,10.4,,
#808 - Mitte - 2023-02-02,Mitte,#808,2023-02-02,19:54:00,Wolt,Delivered,Delivery,17.3,,5.0
#979 - Prenzlauer Berg - 2023-02-02,Prenzlauer Berg,#979,2023-02-02,20:41:00,Wolt,Delivered,Delivery,27.2,,
#980 - Prenzlauer Berg - 2023-02-02,Prenzlauer Berg,#980,2023-02-02,20:48:00,Wolt,Delivered,Delivery,19.4,,
#175 - Friedrichshain - 2023-02-02,Friedrichshain,#175,2023-02-02,20:54:00,Wolt,Delivered,Delivery,29.8,,
#176 - Friedrichshain - 2023-02-02,Friedrichshain,#176,2023-02-02,21:15:00,Wolt,Delivered,Delivery,13.3,,
#177 - Friedrichshain - 2023-02-02,Friedrichshain,#177,2023-02-02,21:45:00,Wolt,Delivered,Delivery,13.7,,
#981 - Prenzlauer Berg - 2023-02-02,Prenzlauer Berg,#981,2023-02-02,21:46:00,Wolt,Delivered,Delivery,11.4,,
#178 - Friedrichshain - 2023-02-03,Friedrichshain,#178,2023-02-03,11:11:00,Wolt,Delivered,Delivery,40.1,,
#982 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#982,2023-02-03,11:14:00,Wolt,Delivered,Delivery,16.7,,
#179 - Friedrichshain - 2023-02-03,Friedrichshain,#179,2023-02-03,11:21:00,Wolt,Delivered,Delivery,33.1,,
#180 - Friedrichshain - 2023-02-03,Friedrichshain,#180,2023-02-03,11:55:00,Wolt,Delivered,Delivery,15.3,,
#983 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#983,2023-02-03,12:20:00,Wolt,Delivered,Delivery,12.8,,5.0
#181 - Friedrichshain - 2023-02-03,Friedrichshain,#181,2023-02-03,12:21:00,Wolt,Delivered,Delivery,18.3,,
#182 - Friedrichshain - 2023-02-03,Friedrichshain,#182,2023-02-03,12:30:00,Wolt,Delivered,Delivery,24.0,,
#809 - Mitte - 2023-02-03,Mitte,#809,2023-02-03,12:43:00,Wolt,Delivered,Delivery,9.9,,1.0
#184 - Friedrichshain - 2023-02-03,Friedrichshain,#184,2023-02-03,12:47:00,Wolt,Delivered,Delivery,11.8,,
#185 - Friedrichshain - 2023-02-03,Friedrichshain,#185,2023-02-03,12:52:00,Wolt,Delivered,Delivery,10.9,,
#810 - Mitte - 2023-02-03,Mitte,#810,2023-02-03,13:02:00,Wolt,Delivered,Delivery,16.3,,
#186 - Friedrichshain - 2023-02-03,Friedrichshain,#186,2023-02-03,13:14:00,Wolt,Delivered,Delivery,10.9,,
#984 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#984,2023-02-03,13:28:00,Wolt,Delivered,Delivery,16.7,,5.0
#187 - Friedrichshain - 2023-02-03,Friedrichshain,#187,2023-02-03,13:41:00,Wolt,Delivered,Delivery,31.8,,
#811 - Mitte - 2023-02-03,Mitte,#811,2023-02-03,13:42:00,Wolt,Delivered,Delivery,10.9,,5.0
#985 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#985,2023-02-03,14:03:00,Wolt,Delivered,Delivery,15.8,,
#812 - Mitte - 2023-02-03,Mitte,#812,2023-02-03,14:57:00,Wolt,Delivered,Delivery,27.6,,
#188 - Friedrichshain - 2023-02-03,Friedrichshain,#188,2023-02-03,15:05:00,Wolt,Delivered,Delivery,35.5,,
#813 - Mitte - 2023-02-03,Mitte,#813,2023-02-03,15:05:00,Wolt,Delivered,Delivery,33.1,,2.0
#189 - Friedrichshain - 2023-02-03,Friedrichshain,#189,2023-02-03,15:21:00,Wolt,Delivered,Delivery,16.3,,
#986 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#986,2023-02-03,15:37:00,Wolt,Delivered,Delivery,10.8,,
#814 - Mitte - 2023-02-03,Mitte,#814,2023-02-03,15:55:00,Wolt,Delivered,Delivery,14.8,,
#190 - Friedrichshain - 2023-02-03,Friedrichshain,#190,2023-02-03,16:31:00,Wolt,Delivered,Delivery,14.9,,
#815 - Mitte - 2023-02-03,Mitte,#815,2023-02-03,17:04:00,Wolt,Delivered,Delivery,15.6,,
#816 - Mitte - 2023-02-03,Mitte,#816,2023-02-03,17:07:00,Wolt,Delivered,Delivery,12.3,,
#817 - Mitte - 2023-02-03,Mitte,#817,2023-02-03,17:25:00,Wolt,Delivered,Delivery,30.7,,
#987 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#987,2023-02-03,17:28:00,Wolt,Delivered,Delivery,21.8,,4.0
#988 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#988,2023-02-03,17:29:00,Wolt,Delivered,Delivery,18.8,,
#191 - Friedrichshain - 2023-02-03,Friedrichshain,#191,2023-02-03,17:59:00,Wolt,Delivered,Delivery,43.9,,
#821 - Mitte - 2023-02-03,Mitte,#821,2023-02-03,17:59:00,Wolt,Delivered,Delivery,16.3,,
#989 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#989,2023-02-03,18:00:00,Wolt,Delivered,Delivery,15.8,,
#990 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#990,2023-02-03,18:06:00,Wolt,Delivered,Delivery,11.4,,
#822 - Mitte - 2023-02-03,Mitte,#822,2023-02-03,18:11:00,Wolt,Delivered,Delivery,17.9,,
#991 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#991,2023-02-03,18:19:00,Wolt,Delivered,Delivery,14.8,,
#192 - Friedrichshain - 2023-02-03,Friedrichshain,#192,2023-02-03,18:20:00,Wolt,Delivered,Delivery,41.9,,
#992 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#992,2023-02-03,18:21:00,Wolt,Delivered,Delivery,29.0,,
#993 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#993,2023-02-03,18:27:00,Wolt,Delivered,Delivery,20.2,,4.0
#994 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#994,2023-02-03,18:37:00,Wolt,Delivered,Delivery,17.8,,
#193 - Friedrichshain - 2023-02-03,Friedrichshain,#193,2023-02-03,18:44:00,Wolt,Delivered,Delivery,30.5,,
#195 - Friedrichshain - 2023-02-03,Friedrichshain,#195,2023-02-03,18:50:00,Wolt,Delivered,Delivery,12.8,,
#194 - Friedrichshain - 2023-02-03,Friedrichshain,#194,2023-02-03,18:50:00,Wolt,Delivered,Delivery,22.7,,3.0
#995 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#995,2023-02-03,18:54:00,Wolt,Delivered,Delivery,14.8,,3.0
#823 - Mitte - 2023-02-03,Mitte,#823,2023-02-03,19:05:00,Wolt,Delivered,Delivery,10.8,,
#196 - Friedrichshain - 2023-02-03,Friedrichshain,#196,2023-02-03,19:11:00,Wolt,Delivered,Delivery,23.7,,
#197 - Friedrichshain - 2023-02-03,Friedrichshain,#197,2023-02-03,19:16:00,Wolt,Delivered,Delivery,20.8,,
#824 - Mitte - 2023-02-03,Mitte,#824,2023-02-03,19:34:00,Wolt,Delivered,Delivery,22.1,,
#996 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#996,2023-02-03,19:37:00,Wolt,Delivered,Delivery,32.8,,
#997 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#997,2023-02-03,19:43:00,Wolt,Delivered,Delivery,18.8,,1.0
#998 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#998,2023-02-03,20:28:00,Wolt,Delivered,Delivery,16.3,,5.0
#198 - Friedrichshain - 2023-02-03,Friedrichshain,#198,2023-02-03,20:29:00,Wolt,Delivered,Delivery,26.6,,
#199 - Friedrichshain - 2023-02-03,Friedrichshain,#199,2023-02-03,20:42:00,Wolt,Delivered,Delivery,26.5,,5.0
#999 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#999,2023-02-03,21:00:00,Wolt,Delivered,Delivery,18.6,,
#000 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#000,2023-02-03,21:06:00,Wolt,Delivered,Delivery,11.4,,4.0
#001 - Prenzlauer Berg - 2023-02-03,Prenzlauer Berg,#001,2023-02-03,21:46:00,Wolt,Delivered,Delivery,27.0,,
#200 - Friedrichshain - 2023-02-03,Friedrichshain,#200,2023-02-03,21:50:00,Wolt,Delivered,Delivery,24.0,,3.0
#201 - Friedrichshain - 2023-02-03,Friedrichshain,#201,2023-02-03,22:35:00,Wolt,Delivered,Delivery,12.3,,
#202 - Friedrichshain - 2023-02-03,Friedrichshain,#202,2023-02-03,22:53:00,Wolt,Delivered,Delivery,10.9,,5.0
#203 - Friedrichshain - 2023-02-03,Friedrichshain,#203,2023-02-03,22:54:00,Wolt,Delivered,Delivery,16.3,,
#204 - Friedrichshain - 2023-02-03,Friedrichshain,#204,2023-02-03,22:57:00,Wolt,Delivered,Delivery,16.8,,
#825 - Mitte - 2023-02-04,Mitte,#825,2023-02-04,11:10:00,Wolt,Delivered,Delivery,19.7,,
#002 - Prenzlauer Berg - 2023-02-04,Prenzlauer Berg,#002,2023-02-04,11:18:00,Wolt,Delivered,Delivery,20.3,,
#205 - Friedrichshain - 2023-02-04,Friedrichshain,#205,2023-02-04,11:36:00,Wolt,Delivered,Delivery,38.8,,
#206 - Friedrichshain - 2023-02-04,Friedrichshain,#206,2023-02-04,11:44:00,Wolt,Delivered,Delivery,13.3,,
#207 - Friedrichshain - 2023-02-04,Friedrichshain,#207,2023-02-04,12:56:00,Wolt,Delivered,Delivery,19.3,,
#208 - Friedrichshain - 2023-02-04,Friedrichshain,#208,2023-02-04,12:57:00,Wolt,Delivered,Delivery,33.2,,
#003 - Prenzlauer Berg - 2023-02-04,Prenzlauer Berg,#003,2023-02-04,13:19:00,Wolt,Delivered,Delivery,26.1,,
#209 - Friedrichshain - 2023-02-04,Friedrichshain,#209,2023-02-04,13:20:00,Wolt,Delivered,Delivery,20.3,,5.0
#210 - Friedrichshain - 2023-02-04,Friedrichshain,#210,2023-02-04,13:58:00,Wolt,Delivered,Delivery,15.8,,
#826 - Mitte - 2023-02-04,Mitte,#826,2023-02-04,14:03:00,Wolt,Delivered,Delivery,30.0,,
#005 - Prenzlauer Berg - 2023-02-04,Prenzlauer Berg,#005,2023-02-04,14:12:00,Wolt,Delivered,Delivery,38.6,,
#004 - Prenzlauer Berg - 2023-02-04,Prenzlauer Berg,#004,2023-02-04,14:12:00,Wolt,Delivered,Delivery,12.8,,
#211 - Friedrichshain - 2023-02-04,Friedrichshain,#211,2023-02-04,14:14:00,Wolt,Delivered,Delivery,14.4,,
#827 - Mitte - 2023-02-04,Mitte,#827,2023-02-04,14:15:00,Wolt,Delivered,Delivery,24.2,,3.0
#212 - Friedrichshain - 2023-02-04,Friedrichshain,#212,2023-02-04,14:26:00,Wolt,Delivered,Delivery,15.8,,
#213 - Friedrichshain - 2023-02-04,Friedrichshain,#213,2023-02-04,14:30:00,Wolt,Delivered,Delivery,24.7,,
#828 - Mitte - 2023-02-04,Mitte,#828,2023-02-04,14:33:00,Wolt,Delivered,Delivery,37.6,,
#214 - Friedrichshain - 2023-02-04,Friedrichshain,#214,2023-02-04,14:36:00,Wolt,Delivered,Delivery,28.4,,
#215 - Friedrichshain - 2023-02-04,Friedrichshain,#215,2023-02-04,15:01:00,Wolt,Delivered,Delivery,15.8,,
#006 - Prenzlauer Berg - 2023-02-04,Prenzlauer Berg,#006,2023-02-04,15:17:00,Wolt,Delivered,Delivery,15.8,,5.0
#829 - Mitte - 2023-02-04,Mitte,#829,2023-02-04,15:27:00,Wolt,Delivered,Delivery,23.6,,
#007 - Prenzlauer Berg - 2023-02-04,Prenzlauer Berg,#007,2023-02-04,15:30:00,Wolt,Delivered,Delivery,12.8,,
#216 - Friedrichshain - 2023-02-04,Friedrichshain,#216,2023-02-04,15:54:00,Wolt,Delivered,Delivery,33.5,,3.0
#217 - Friedrichshain - 2023-02-04,Friedrichshain,#217,2023-02-04,16:10:00,Wolt,Delivered,Delivery,25.3,,
#218 - Friedrichshain - 2023-02-04,Friedrichshain,#218,2023-02-04,16:22:00,Wolt,Delivered,Delivery,29.2,,
#219 - Friedrichshain - 2023-02-04,Friedrichshain,#219,2023-02-04,16:37:00,Wolt,Delivered,Delivery,17.6,,4.0
#221 - Friedrichshain - 2023-02-04,Friedrichshain,#221,2023-02-04,17:06:00,Wolt,Delivered,Delivery,28.1,,
#830 - Mitte - 2023-02-04,Mitte,#830,2023-02-04,17:06:00,Wolt,Delivered,Delivery,19.3,,
#222 - Friedrichshain - 2023-02-04,Friedrichshain,#222,2023-02-04,17:23:00,Wolt,Delivered,Delivery,14.8,,4.0
#223 - Friedrichshain - 2023-02-04,Friedrichshain,#223,2023-02-04,17:30:00,Wolt,Delivered,Delivery,14.4,,
#008 - Prenzlauer Berg - 2023-02-04,Prenzlauer Berg,#008,2023-02-04,17:41:00,Wolt,Delivered,Delivery,21.2,,
#009 - Prenzlauer Berg - 2023-02-04,Prenzlauer Berg,#009,2023-02-04,17:45:00,Wolt,Delivered,Pickup,30.0,,
#224 - Friedrichshain - 2023-02-04,Friedrichshain,#224,2023-02-04,17:49:00,Wolt,Delivered,Delivery,14.8,,
#010 - Prenzlauer Berg - 2023-02-04,Prenzlauer Berg,#010,2023-02-04,17:55:00,Wolt,Delivered,Delivery,21.2,,
#225 - Friedrichshain - 2023-02-04,Friedrichshain,#225,2023-02-04,17:58:00,Wolt,Delivered,Delivery,20.2,,
#226 - Friedrichshain - 2023-02-04,Friedrichshain,#226,2023-02-04,18:26:00,Wolt,Delivered,Delivery,17.6,,
#012 - Prenzlauer Berg - 2023-02-04,Prenzlauer Berg,#012,2023-02-04,18:31:00,Wolt,Delivered,Delivery,25.6,,
#011 - Prenzlauer Berg - 2023-02-04,Prenzlauer Berg,#011,2023-02-04,18:31:00,Wolt,Delivered,Delivery,33.2,,
#227 - Friedrichshain - 2023-02-04,Friedrichshain,#227,2023-02-04,18:35:00,Wolt,Delivered,Delivery,32.6,,
#228 - Friedrichshain - 2023-02-04,Friedrichshain,#228,2023-02-04,18:38:00,Wolt,Delivered,Delivery,16.3,,
#229 - Friedrichshain - 2023-02-04,Friedrichshain,#229,2023-02-04,18:40:00,Wolt,Delivered,Delivery,33.1,,5.0
#013 - Prenzlauer Berg - 2023-02-04,Prenzlauer Berg,#013,2023-02-04,18:41:00,Wolt,Delivered,Delivery,32.1,,
#831 - Mitte - 2023-02-04,Mitte,#831,2023-02-04,18:42:00,Wolt,Delivered,Delivery,17.2,,
#230 - Friedrichshain - 2023-02-04,Friedrichshain,#230,2023-02-04,18:55:00,Wolt,Delivered,Delivery,34.1,,
#231 - Friedrichshain - 2023-02-04,Friedrichshain,#231,2023-02-04,18:58:00,Wolt,Delivered,Delivery,14.4,,
#832 - Mitte - 2023-02-04,Mitte,#832,2023-02-04,18:58:00,Wolt,Delivered,Delivery,14.4,,
#232 - Friedrichshain - 2023-02-04,Friedrichshain,#232,2023-02-04,19:06:00,Wolt,Delivered,Delivery,20.6,,
#233 - Friedrichshain - 2023-02-04,Friedrichshain,#233,2023-02-04,19:07:00,Wolt,Delivered,Delivery,12.4,,
#834 - Mitte - 2023-02-04,Mitte,#834,2023-02-04,19:07:00,Wolt,Delivered,Delivery,18.2,,5.0
#014 - Prenzlauer Berg - 2023-02-04,Prenzlauer Berg,#014,2023-02-04,19:14:00,Wolt,Delivered,Delivery,15.8,,
#015 - Prenzlauer Berg - 2023-02-04,Prenzlauer Berg,#015,2023-02-04,19:35:00,Wolt,Delivered,Delivery,23.1,,
#234 - Friedrichshain - 2023-02-04,Friedrichshain,#234,2023-02-04,19:36:00,Wolt,Delivered,Delivery,14.8,,
#235 - Friedrichshain - 2023-02-04,Friedrichshain,#235,2023-02-04,19:41:00,Wolt,Delivered,Delivery,10.9,,
#016 - Prenzlauer Berg - 2023-02-04,Prenzlauer Berg,#016,2023-02-04,19:43:00,Wolt,Delivered,Delivery,14.7,,
#236 - Friedrichshain - 2023-02-04,Friedrichshain,#236,2023-02-04,19:47:00,Wolt,Delivered,Delivery,34.1,,
