Location,OrderID,OrderUUID,OrderDate,RatingType,RatingScore,PrimaryKey
Friedrichshain,#E96B2,b37b40d9-87e6-5ecb-a3da-abfe72f31e78,2023-03-26,Consumer To Merchant,5,#E96B2 - Friedrichshain - 2023-03-26
Kreuzberg,#9AA69,4fb6a31f-da88-5833-9103-a3e40ea2500e,2023-03-26,Consumer To Merchant,4,#9AA69 - Kreuzberg - 2023-03-26
Kreuzberg,#9D9A8,2cbe5a63-d4a8-5067-8e79-e4260dbd668b,2023-03-28,Consumer To Merchant,5,#9D9A8 - Kreuzberg - 2023-03-28
Charlottenburg,#083B7,d9d148c7-67c7-5ce8-a0c7-dfc807f30d37,2023-03-27,Consumer To Merchant,5,#083B7 - Charlottenburg - 2023-03-27
Friedrichshain,#158BB,ef0d31c6-1485-58b4-9ec4-dcf2f8e7d95c,2023-03-24,Consumer To Merchant,5,#158BB - Friedrichshain - 2023-03-24
Prenzlauer Berg,#4E573,e6073d69-c700-5105-a8f4-7aaea44a2708,2023-03-26,Consumer To Merchant,5,#4E573 - Prenzlauer Berg - 2023-03-26
Prenzlauer Berg,#91789,1a8b4a3a-01fd-5693-b2d5-a50b0da1ae67,2023-03-22,Consumer To Merchant,5,#91789 - Prenzlauer Berg - 2023-03-22
Prenzlauer Berg,#90C01,9dc90367-9d14-5783-a72a-5e49ead03d6b,2023-03-22,Consumer To Merchant,5,#90C01 - Prenzlauer Berg - 2023-03-22
Bergmannkiez,#DA7DE,4395d566-e455-5246-8b1d-d34bc6fe4c5a,2023-03-24,Consumer To Merchant,3,#DA7DE - Bergmannkiez - 2023-03-24
Friedrichshain,#777A7,4ea64ea8-578e-5f70-9467-4028f647449f,2023-03-23,Consumer To Merchant,5,#777A7 - Friedrichshain - 2023-03-23
Kreuzberg,#5E282,27231dba-7577-5774-941c-00aa3a09a3c2,2023-03-26,Consumer To Merchant,1,#5E282 - Kreuzberg - 2023-03-26
Prenzlauer Berg,#70258,bebba14d-3686-5d03-8e40-56423fd3116c,2023-03-26,Consumer To Merchant,5,#70258 - Prenzlauer Berg - 2023-03-26
Kreuzberg,#C943D,70db9f7c-6c1b-5aec-9d72-8f5fd6b35b65,2023-03-26,Consumer To Merchant,4,#C943D - Kreuzberg - 2023-03-26
Bergmannkiez,#1E6D2,3bdda03b-b328-5dbf-a602-55ba051f3007,2023-03-25,Consumer To Merchant,4,#1E6D2 - Bergmannkiez - 2023-03-25
Friedrichshain,#CBE47,5ecfed6b-283f-538d-b78e-1e9eebb80031,2023-03-24,Consumer To Merchant,5,#CBE47 - Friedrichshain - 2023-03-24
Mitte,#E2E58,fec024fb-4198-593b-9739-7bf8679ad93a,2023-03-22,Consumer To Merchant,5,#E2E58 - Mitte - 2023-03-22
Mitte,#2BC9A,a11bea06-e105-522f-8b74-a6338f56887f,2023-03-25,Consumer To Merchant,5,#2BC9A - Mitte - 2023-03-25
Friedrichshain,#6F0A6,221e9fe7-0e20-5c52-afaf-2f90683e61df,2023-03-28,Consumer To Merchant,5,#6F0A6 - Friedrichshain - 2023-03-28
Prenzlauer Berg,#20F01,15a1e69c-9c7d-5afe-a8a6-071895de69e7,2023-03-20,Consumer To Merchant,5,#20F01 - Prenzlauer Berg - 2023-03-20
Charlottenburg,#3E25A,46c4c648-d1f8-55c1-aa5f-a4c6b724a6e5,2023-03-21,Consumer To Merchant,5,#3E25A - Charlottenburg - 2023-03-21
Friedrichshain,#E5D55,8926f3d0-986c-5673-87e1-7013306ac18d,2023-03-20,Consumer To Merchant,5,#E5D55 - Friedrichshain - 2023-03-20
Charlottenburg,#E9CEE,99be3d73-0df4-582c-b3ce-e56ef23ebb2b,2023-03-18,Consumer To Merchant,5,#E9CEE - Charlottenburg - 2023-03-18
Prenzlauer Berg,#ED486,76cd6861-823f-54b0-aa0f-7828e97822d5,2023-03-20,Consumer To Merchant,5,#ED486 - Prenzlauer Berg - 2023-03-20
Mitte,#90F45,97411503-d410-51d6-ba08-6c9daadbd405,2023-03-24,Consumer To Merchant,5,#90F45 - Mitte - 2023-03-24
Friedrichshain,#429FC,ca2061c2-4a44-536a-b720-1a0a8e281603,2023-03-13,Consumer To Merchant,1,#429FC - Friedrichshain - 2023-03-13
Mitte,#510E3,b7348469-6f7b-5776-8bf9-dfd5e5bad529,2023-03-21,Consumer To Merchant,5,#510E3 - Mitte - 2023-03-21
Prenzlauer Berg,#5CEF4,d30ee33c-f09f-5ba6-a636-c109d08d5664,2023-03-18,Consumer To Merchant,5,#5CEF4 - Prenzlauer Berg - 2023-03-18
Prenzlauer Berg,#21026,d221505f-4f1a-5710-94aa-cb6b3614772a,2023-03-16,Consumer To Merchant,5,#21026 - Prenzlauer Berg - 2023-03-16
Prenzlauer Berg,#7319D,cbefeec0-06f4-53c7-937b-c4ccb54b4bd0,2023-03-16,Consumer To Merchant,2,#7319D - Prenzlauer Berg - 2023-03-16
Prenzlauer Berg,#E0921,8a427308-6a59-53c8-bb19-77c9806ff8d2,2023-03-16,Consumer To Merchant,3,#E0921 - Prenzlauer Berg - 2023-03-16
Friedrichshain,#E19A6,7a3c1d55-0b08-561e-a928-cb9c300a4c8c,2023-03-17,Consumer To Merchant,3,#E19A6 - Friedrichshain - 2023-03-17
Bergmannkiez,#E1103,af2e79a6-d45f-5f2e-bb9f-466c9acd2a38,2023-03-19,Consumer To Merchant,4,#E1103 - Bergmannkiez - 2023-03-19
Kreuzberg,#EFDFF,3fdc6dd0-c4ac-5a80-95f0-3a0506408f12,2023-03-18,Consumer To Merchant,2,#EFDFF - Kreuzberg - 2023-03-18
Bergmannkiez,#B9B5A,51c22d32-4018-540b-99d1-f3207e35a9b3,2023-03-26,Consumer To Merchant,1,#B9B5A - Bergmannkiez - 2023-03-26
Friedrichshain,#2A176,cde913fe-560d-582d-8ddf-6140e63ba512,2023-03-24,Consumer To Merchant,2,#2A176 - Friedrichshain - 2023-03-24
Charlottenburg,#5041A,cb5badbb-5d91-5e24-9032-896d80440eaf,2023-03-13,Consumer To Merchant,5,#5041A - Charlottenburg - 2023-03-13
Bergmannkiez,#614D3,5b82c950-b955-507c-abf4-60804e57d08a,2023-03-18,Consumer To Merchant,4,#614D3 - Bergmannkiez - 2023-03-18
Bergmannkiez,#50E5D,5e26d5ad-9bd3-561a-8e8c-903ea427f8b2,2023-03-15,Consumer To Merchant,5,#50E5D - Bergmannkiez - 2023-03-15
Mitte,#B1537,32be38a0-0dd1-59b8-ba81-d1137e1d8c4c,2023-03-25,Consumer To Merchant,5,#B1537 - Mitte - 2023-03-25
Bergmannkiez,#5F864,5d5d261b-9451-50d1-8bea-c8c4a9987f12,2023-03-13,Consumer To Merchant,5,#5F864 - Bergmannkiez - 2023-03-13
Charlottenburg,#9C1BA,adc9394c-29bf-5712-bb51-0e51cc350f0c,2023-03-21,Consumer To Merchant,5,#9C1BA - Charlottenburg - 2023-03-21
Charlottenburg,#67E5B,ff954ad5-d378-5229-8922-a763b8003413,2023-03-19,Consumer To Merchant,5,#67E5B - Charlottenburg - 2023-03-19
Bergmannkiez,#89011,c1274001-4378-5908-99a0-3f065b6768a1,2023-03-18,Consumer To Merchant,4,#89011 - Bergmannkiez - 2023-03-18
Mitte,#CA166,25c22dec-f328-522b-b456-0cb544c2e63a,2023-03-16,Consumer To Merchant,5,#CA166 - Mitte - 2023-03-16
Friedrichshain,#36F90,550608bb-9922-5088-9ec1-2c8c610c07c2,2023-03-16,Consumer To Merchant,5,#36F90 - Friedrichshain - 2023-03-16
Bergmannkiez,#1F2D1,ecb5b9a9-2c73-5f85-a8a0-124b0bd643c8,2023-03-22,Consumer To Merchant,3,#1F2D1 - Bergmannkiez - 2023-03-22
Prenzlauer Berg,#56828,f84e30fa-a461-58bd-9607-2264d8641540,2023-03-28,Consumer To Merchant,5,#56828 - Prenzlauer Berg - 2023-03-28
Bergmannkiez,#E8122,cf3259d6-4f4a-52b8-9eb7-5928946322e0,2023-03-28,Consumer To Merchant,5,#E8122 - Bergmannkiez - 2023-03-28
Charlottenburg,#59C34,ad66e6af-3790-5b20-b9a0-d7a090112978,2023-03-20,Consumer To Merchant,5,#59C34 - Charlottenburg - 2023-03-20
Charlottenburg,#0B2C5,4302d629-87a7-53e7-9e70-557869cf653b,2023-03-13,Consumer To Merchant,5,#0B2C5 - Charlottenburg - 2023-03-13
Mitte,#65A8B,5cecd2e0-0c10-5e34-a6ff-85db3f97b9ee,2023-03-17,Consumer To Merchant,5,#65A8B - Mitte - 2023-03-17
Prenzlauer Berg,#F6C8A,db38cb16-838a-5b24-afd4-61c77fd39a6c,2023-03-20,Consumer To Merchant,5,#F6C8A - Prenzlauer Berg - 2023-03-20
Prenzlauer Berg,#91125,d90213f1-37a4-5f32-862e-bac71919f01e,2023-03-18,Consumer To Merchant,3,#91125 - Prenzlauer Berg - 2023-03-18
Friedrichshain,#A652E,3722375a-70de-588b-8fd4-5b0b4a11ba5f,2023-03-15,Consumer To Merchant,3,#A652E - Friedrichshain - 2023-03-15
Charlottenburg,#978E6,b4cc82e9-2c0a-54a7-9d2d-f20123eff441,2023-03-15,Consumer To Merchant,5,#978E6 - Charlottenburg - 2023-03-15
Prenzlauer Berg,#279AD,3b86775b-0f5e-5b4d-95fe-39eef3210acc,2023-03-15,Consumer To Merchant,3,#279AD - Prenzlauer Berg - 2023-03-15
Friedrichshain,#13D9F,e7603103-1e06-5ff7-bad9-2d8df1d4a3bd,2023-03-15,Consumer To Merchant,5,#13D9F - Friedrichshain - 2023-03-15
Friedrichshain,#8B44A,73ac2052-833c-52b3-9749-9fa18f154cd9,2023-03-13,Consumer To Merchant,4,#8B44A - Friedrichshain - 2023-03-13
Prenzlauer Berg,#6480D,97af6192-7138-53c7-9fe6-c7c8ed2c69ac,2023-03-13,Consumer To Merchant,5,#6480D - Prenzlauer Berg - 2023-03-13
Prenzlauer Berg,#3EAC5,b40629af-9d00-59be-89e0-95cfd7e40278,2023-03-15,Consumer To Merchant,5,#3EAC5 - Prenzlauer Berg - 2023-03-15
Prenzlauer Berg,#1F5AE,61c749b5-cdec-5778-b358-f0b95d37202f,2023-03-15,Consumer To Merchant,5,#1F5AE - Prenzlauer Berg - 2023-03-15
Bergmannkiez,#93643,41dbc4be-f453-5953-8165-b8b1c7cd9053,2023-03-19,Consumer To Merchant,3,#93643 - Bergmannkiez - 2023-03-19
Bergmannkiez,#E34C4,36c11768-7f2f-57d5-b282-0ea614bf9234,2023-03-12,Consumer To Merchant,1,#E34C4 - Bergmannkiez - 2023-03-12
Charlottenburg,#AC0BF,31094b6e-fad6-56ad-be36-8d188f1031ce,2023-03-21,Consumer To Merchant,5,#AC0BF - Charlottenburg - 2023-03-21
Prenzlauer Berg,#F9ED9,1208b8a9-b7cb-57f2-8866-bc0ea3ff04fa,2023-03-16,Consumer To Merchant,5,#F9ED9 - Prenzlauer Berg - 2023-03-16
Friedrichshain,#32A77,7c2b11e1-0dd6-554a-ae51-045da9240fd1,2023-03-10,Consumer To Merchant,1,#32A77 - Friedrichshain - 2023-03-10
Kreuzberg,#6301F,76826762-e959-5e9b-8272-8b4a6f0e2a70,2023-03-13,Consumer To Merchant,5,#6301F - Kreuzberg - 2023-03-13
Prenzlauer Berg,#E2DFA,faac5e22-fc0c-523b-868e-1a5fb4f340ad,2023-03-14,Consumer To Merchant,4,#E2DFA - Prenzlauer Berg - 2023-03-14
Kreuzberg,#87D47,295b343c-d4dc-5a09-b030-f88e67b8f5be,2023-03-10,Consumer To Merchant,5,#87D47 - Kreuzberg - 2023-03-10
Prenzlauer Berg,#1761C,bbbdfe0c-3beb-57b6-95c6-438cf35f449f,2023-03-18,Consumer To Merchant,1,#1761C - Prenzlauer Berg - 2023-03-18
Prenzlauer Berg,#F2A97,1fd30e4f-3976-57f8-9707-b8b1409f6c40,2023-03-15,Consumer To Merchant,3,#F2A97 - Prenzlauer Berg - 2023-03-15
Prenzlauer Berg,#D9A1F,5d772159-d683-5a6e-9c6d-d2cc0bcf1abb,2023-03-14,Consumer To Merchant,5,#D9A1F - Prenzlauer Berg - 2023-03-14
Bergmannkiez,#D8A8E,598222bd-d657-500a-a40e-bfb53f885628,2023-03-14,Consumer To Merchant,5,#D8A8E - Bergmannkiez - 2023-03-14
Prenzlauer Berg,#FF970,e8691719-ca21-5ca5-85db-e7d6e6b9b5dd,2023-03-13,Consumer To Merchant,5,#FF970 - Prenzlauer Berg - 2023-03-13
Bergmannkiez,#180AA,b1712378-4ddf-5025-bf0b-b4401d0345ce,2023-03-10,Consumer To Merchant,1,#180AA - Bergmannkiez - 2023-03-10
Friedrichshain,#25E91,a4e29a77-78e0-52a3-b2b3-fd6971705555,2023-03-13,Consumer To Merchant,5,#25E91 - Friedrichshain - 2023-03-13
Friedrichshain,#BDEF9,9acd46b2-6759-5f2b-92e5-19cca42bb8e4,2023-03-19,Consumer To Merchant,5,#BDEF9 - Friedrichshain - 2023-03-19
Charlottenburg,#EC8AF,b8aa7775-b882-567f-b526-97c5a48daef0,2023-03-19,Consumer To Merchant,5,#EC8AF - Charlottenburg - 2023-03-19
Bergmannkiez,#38F46,3e4d4204-cb79-555c-9c9a-27b449d358f5,2023-03-06,Consumer To Merchant,5,#38F46 - Bergmannkiez - 2023-03-06
Friedrichshain,#F0A78,1fc678b0-e9c7-5c26-a431-c22bc8be29a4,2023-03-06,Consumer To Merchant,1,#F0A78 - Friedrichshain - 2023-03-06
Friedrichshain,#CAFD8,4c275c29-4cea-5511-80e1-3ac2d3a63d75,2023-03-06,Consumer To Merchant,5,#CAFD8 - Friedrichshain - 2023-03-06
Kreuzberg,#A1D60,49d5d043-e456-56d7-acd1-861d0cdaba64,2023-03-19,Consumer To Merchant,3,#A1D60 - Kreuzberg - 2023-03-19
Mitte,#E1308,8a7216d5-d0ce-518a-95ce-d6e6cd4452f7,2023-03-20,Consumer To Merchant,5,#E1308 - Mitte - 2023-03-20
Charlottenburg,#0BD26,9188b59a-e603-552d-97ae-90193001ddd1,2023-03-06,Consumer To Merchant,5,#0BD26 - Charlottenburg - 2023-03-06
Mitte,#5CBD5,37531097-2cb0-50f4-96b1-7dbff169089a,2023-03-19,Consumer To Merchant,3,#5CBD5 - Mitte - 2023-03-19
Prenzlauer Berg,#5927D,6af4ef34-eecd-5236-a32c-7999dba8d325,2023-03-19,Consumer To Merchant,5,#5927D - Prenzlauer Berg - 2023-03-19
Friedrichshain,#B34FA,dd89e70e-f721-5379-82b2-3c3a37684a90,2023-03-11,Consumer To Merchant,1,#B34FA - Friedrichshain - 2023-03-11
Mitte,#6F27B,db059af1-2b40-5168-8a20-f4bdc65ef1ea,2023-03-13,Consumer To Merchant,5,#6F27B - Mitte - 2023-03-13
Prenzlauer Berg,#01CFF,94fdb539-d8b8-5414-a398-ebcf968f1b1c,2023-03-10,Consumer To Merchant,5,#01CFF - Prenzlauer Berg - 2023-03-10
Prenzlauer Berg,#98FF0,88f41e7a-c389-55b0-b281-5536feb7e703,2023-03-14,Consumer To Merchant,5,#98FF0 - Prenzlauer Berg - 2023-03-14
Mitte,#853EB,89bf5723-4d8b-5032-9ce7-514da6a79105,2023-03-14,Consumer To Merchant,2,#853EB - Mitte - 2023-03-14
Charlottenburg,#E40D2,07aa0244-1a49-53b8-afe1-80ff1cefe211,2023-03-06,Consumer To Merchant,5,#E40D2 - Charlottenburg - 2023-03-06
Bergmannkiez,#A802E,6e5d8d81-1d41-595e-8664-d34f6a323953,2023-03-11,Consumer To Merchant,5,#A802E - Bergmannkiez - 2023-03-11
Bergmannkiez,#B071E,ccac1f81-bdf0-5334-b9e8-201979abd45e,2023-03-14,Consumer To Merchant,1,#B071E - Bergmannkiez - 2023-03-14
Mitte,#3C9F0,f8eb5f47-e897-5204-a3b3-7d00d6a322aa,2023-03-11,Consumer To Merchant,4,#3C9F0 - Mitte - 2023-03-11
Mitte,#C69AB,39387bf5-8933-5d48-824e-15346c3f7940,2023-03-11,Consumer To Merchant,5,#C69AB - Mitte - 2023-03-11
Bergmannkiez,#EEC21,e35e7789-5186-5694-960c-ed933ce77d36,2023-03-06,Consumer To Merchant,4,#EEC21 - Bergmannkiez - 2023-03-06
Friedrichshain,#6F4B0,9b76a565-cc74-5338-9fa9-1858c55995b7,2023-03-12,Consumer To Merchant,5,#6F4B0 - Friedrichshain - 2023-03-12
Charlottenburg,#83A93,fef8f3a9-8480-5fd6-808d-5dd2d82d221a,2023-03-15,Consumer To Merchant,5,#83A93 - Charlottenburg - 2023-03-15
Bergmannkiez,#5B26C,f6532414-671d-5143-9901-93770a71b15f,2023-03-11,Consumer To Merchant,5,#5B26C - Bergmannkiez - 2023-03-11
Bergmannkiez,#39CFA,907b509b-8936-5625-9363-ff8e520feba7,2023-03-05,Consumer To Merchant,2,#39CFA - Bergmannkiez - 2023-03-05
Prenzlauer Berg,#031E2,ab97311f-dbc5-5ba3-8296-771b59d5fdcd,2023-03-04,Consumer To Merchant,1,#031E2 - Prenzlauer Berg - 2023-03-04
Prenzlauer Berg,#85C97,f5528da2-7cad-5050-a2b2-4204457b8040,2023-03-07,Consumer To Merchant,4,#85C97 - Prenzlauer Berg - 2023-03-07
Mitte,#82495,77cd9d13-a3fb-54b9-8e3e-2f00ea4daf91,2023-03-07,Consumer To Merchant,5,#82495 - Mitte - 2023-03-07
Bergmannkiez,#4861F,cf20ff07-a4ce-57f5-94f1-618eb4254bc2,2023-03-10,Consumer To Merchant,5,#4861F - Bergmannkiez - 2023-03-10
Mitte,#E316E,a2f15206-595c-58df-b25f-586359986f97,2023-03-12,Consumer To Merchant,5,#E316E - Mitte - 2023-03-12
Bergmannkiez,#F62B9,e02d1e82-dea2-5332-a8e1-2fc0b40c2dce,2023-03-09,Consumer To Merchant,5,#F62B9 - Bergmannkiez - 2023-03-09
Kreuzberg,#BCF0A,a058433d-10bc-57ba-accf-ffb27946b489,2023-03-11,Consumer To Merchant,4,#BCF0A - Kreuzberg - 2023-03-11
Kreuzberg,#632D7,64f73c7f-17b2-53e7-b93f-e1c224a275ad,2023-03-26,Consumer To Merchant,5,#632D7 - Kreuzberg - 2023-03-26
Prenzlauer Berg,#F1950,75191abe-0aaa-5e97-b22a-9504c98fbfaa,2023-03-08,Consumer To Merchant,5,#F1950 - Prenzlauer Berg - 2023-03-08
Kreuzberg,#EEF3A,10260968-56e2-5e32-a6c9-3a1b826f4707,2023-03-11,Consumer To Merchant,5,#EEF3A - Kreuzberg - 2023-03-11
Mitte,#66BB0,52d28150-b968-57f6-a9bc-2c6a6bfd5cf9,2023-03-06,Consumer To Merchant,5,#66BB0 - Mitte - 2023-03-06
Charlottenburg,#56E12,6c9c1895-6504-5b3a-85b4-960a2543e97b,2023-03-10,Consumer To Merchant,5,#56E12 - Charlottenburg - 2023-03-10
Bergmannkiez,#F9C18,a943ad01-3c43-5ec5-8074-e871ce60c5d9,2023-03-14,Consumer To Merchant,4,#F9C18 - Bergmannkiez - 2023-03-14
Prenzlauer Berg,#95611,584ff6f1-aa18-5c64-b2c3-143dfe48e7d3,2023-03-14,Consumer To Merchant,5,#95611 - Prenzlauer Berg - 2023-03-14
Bergmannkiez,#7C652,3e77a8ca-2a23-5160-a94e-19748db37bb2,2023-03-14,Consumer To Merchant,5,#7C652 - Bergmannkiez - 2023-03-14
Prenzlauer Berg,#7F1EC,f59d7d4e-71d9-51eb-8a3a-4501cf313e7d,2023-03-06,Consumer To Merchant,5,#7F1EC - Prenzlauer Berg - 2023-03-06
Prenzlauer Berg,#9AAA7,22ffbc1c-6e0b-5657-a4cf-bc38b772ecf8,2023-03-06,Consumer To Merchant,5,#9AAA7 - Prenzlauer Berg - 2023-03-06
Charlottenburg,#8E48F,f3a6171f-9018-5a29-8596-66d423bbfaf9,2023-03-14,Consumer To Merchant,5,#8E48F - Charlottenburg - 2023-03-14
Bergmannkiez,#97F9A,fc4e2c1c-895a-5cad-b552-736d2ba1a966,2023-03-11,Consumer To Merchant,5,#97F9A - Bergmannkiez - 2023-03-11
Bergmannkiez,#0E0BB,59e359ba-aa09-5d2b-803d-e2f0b141a77b,2023-03-09,Consumer To Merchant,5,#0E0BB - Bergmannkiez - 2023-03-09
Prenzlauer Berg,#8BBED,92255e28-9d75-51c7-a800-fbf2041f7bd0,2023-03-06,Consumer To Merchant,5,#8BBED - Prenzlauer Berg - 2023-03-06
Bergmannkiez,#2D77D,a62dea30-6627-51c8-8857-c7cd8b3aa235,2023-03-14,Consumer To Merchant,1,#2D77D - Bergmannkiez - 2023-03-14
Friedrichshain,#DDBA1,cb544dd9-51ca-5c11-99a5-dbc62de51f6a,2023-03-12,Consumer To Merchant,5,#DDBA1 - Friedrichshain - 2023-03-12
Bergmannkiez,#55FF8,9249318f-e1f1-58c2-a782-eadb05caedf0,2023-03-12,Consumer To Merchant,5,#55FF8 - Bergmannkiez - 2023-03-12
Friedrichshain,#3A030,b3ee9a24-9482-5d1c-9d7e-eeda6b90023e,2023-03-04,Consumer To Merchant,4,#3A030 - Friedrichshain - 2023-03-04
Prenzlauer Berg,#8DDCF,c2f200b4-8f73-5d97-8820-861b0484b694,2023-03-09,Consumer To Merchant,5,#8DDCF - Prenzlauer Berg - 2023-03-09
Friedrichshain,#6B9B7,ef940a38-fa58-5f4d-a402-f669bcb97039,2023-03-12,Consumer To Merchant,2,#6B9B7 - Friedrichshain - 2023-03-12
Friedrichshain,#E7106,ba6399b3-d31a-5484-b4a5-d50fd688e165,2023-03-12,Consumer To Merchant,5,#E7106 - Friedrichshain - 2023-03-12
Mitte,#57B77,81e12208-93fa-55a6-8351-ac1164796658,2023-03-10,Consumer To Merchant,4,#57B77 - Mitte - 2023-03-10
Prenzlauer Berg,#D9124,e4417f75-fe97-5b6e-a39c-a880fcdb78ea,2023-03-08,Consumer To Merchant,4,#D9124 - Prenzlauer Berg - 2023-03-08
Prenzlauer Berg,#82D39,7dd1876b-7c88-5550-8b5d-71315e429f60,2023-03-05,Consumer To Merchant,3,#82D39 - Prenzlauer Berg - 2023-03-05
Mitte,#8339B,3b8f6cba-c96a-5edd-8f03-b738631b8fa1,2023-03-07,Consumer To Merchant,5,#8339B - Mitte - 2023-03-07
Charlottenburg,#6DD1C,8f1bf21a-09ea-5a29-9b37-172e6ddac174,2023-03-07,Consumer To Merchant,5,#6DD1C - Charlottenburg - 2023-03-07
Mitte,#E0485,274c7de1-97d1-516a-9bd2-17981fcbc9e4,2023-03-07,Consumer To Merchant,5,#E0485 - Mitte - 2023-03-07
Bergmannkiez,#E83EC,69556688-7011-5344-860b-0f3937ad9642,2023-03-06,Consumer To Merchant,4,#E83EC - Bergmannkiez - 2023-03-06
Friedrichshain,#6B70D,cf7b4226-813f-5fa0-902f-e714593d8286,2023-03-07,Consumer To Merchant,5,#6B70D - Friedrichshain - 2023-03-07
Bergmannkiez,#B74E9,e6ac5123-27d9-58a0-9e35-1b5958c4e9f0,2023-03-06,Consumer To Merchant,5,#B74E9 - Bergmannkiez - 2023-03-06
Prenzlauer Berg,#57AB6,23b0e586-e32c-59eb-83ab-972516f8047c,2023-03-05,Consumer To Merchant,5,#57AB6 - Prenzlauer Berg - 2023-03-05
Charlottenburg,#34D2A,f78d75aa-e88d-5f85-92a7-5273bb015600,2023-03-04,Consumer To Merchant,5,#34D2A - Charlottenburg - 2023-03-04
Charlottenburg,#0F847,1cba9c1e-7d43-523b-abb6-2afeb156fb24,2023-03-04,Consumer To Merchant,4,#0F847 - Charlottenburg - 2023-03-04
Bergmannkiez,#E432E,25276a3c-2d55-5a97-a9c8-224d7ee94f4c,2023-03-06,Consumer To Merchant,4,#E432E - Bergmannkiez - 2023-03-06
Charlottenburg,#5EAB2,dda50645-e554-5158-b65b-f168d7431a45,2023-03-14,Consumer To Merchant,4,#5EAB2 - Charlottenburg - 2023-03-14
